unique_key,incident_address,t2_unique_key,t3_incident_address,descriptor,location_type,record_count,total_amount,avg_amount,max_amount,min_amount
67203622,71-01 PARSONS BOULEVARD,67203622,71-01 PARSONS BOULEVARD,Parking Permit Improper Use,Street/Sidewalk,210,217698180,1036658.0,1036658,1036658
67280877,5-47 50 AVENUE,67280877,5-47 50 AVENUE,Parking Permit Improper Use,Street/Sidewalk,480,478283520,996424.0,996424,996424
67209055,5-47 50 AVENUE,67209055,5-47 50 AVENUE,Parking Permit Improper Use,Street/Sidewalk,480,478283520,996424.0,996424,996424
67271409,71-01 PARSONS BOULEVARD,67271409,71-01 PARSONS BOULEVARD,Parking Permit Improper Use,Street/Sidewalk,210,217698180,1036658.0,1036658,1036658
67249769,71-01 PARSONS BOULEVARD,67249769,71-01 PARSONS BOULEVARD,Parking Permit Improper Use,Street/Sidewalk,210,217698180,1036658.0,1036658,1036658
67193528,168-01 UNION TURNPIKE,67193528,168-01 UNION TURNPIKE,Parking Permit Improper Use,Street/Sidewalk,880,914906960,1039667.0,1039667,1039667
67257491,168-01 UNION TURNPIKE,67257491,168-01 UNION TURNPIKE,Parking Permit Improper Use,Street/Sidewalk,880,914906960,1039667.0,1039667,1039667
67272758,5-47 50 AVENUE,67272758,5-47 50 AVENUE,Parking Permit Improper Use,Street/Sidewalk,480,478283520,996424.0,996424,996424
67264786,275 GLENMORE AVENUE,67264786,275 GLENMORE AVENUE,Parking Permit Improper Use,Street/Sidewalk,24,24284280,1011845.0,1011845,1011845
67267488,100 MESEROLE AVENUE,67267488,100 MESEROLE AVENUE,Parking Permit Improper Use,Street/Sidewalk,400,398912800,997282.0,997282,997282
67218818,5-47 50 AVENUE,67218818,5-47 50 AVENUE,Parking Permit Improper Use,Street/Sidewalk,480,478283520,996424.0,996424,996424
67131696,168-01 UNION TURNPIKE,67131696,168-01 UNION TURNPIKE,Parking Permit Improper Use,Street/Sidewalk,880,914906960,1039667.0,1039667,1039667
