council_district,total,count,average
6.0,7,2,3.5
23.0,5,1,5.0
20.0,5,1,5.0
34.0,4,1,4.0
13.0,4,2,2.0
17.0,3,3,1.0
1.0,2,1,2.0
16.0,2,2,1.0
9.0,1,1,1.0
40.0,1,1,1.0
41.0,1,1,1.0
33.0,1,1,1.0
37.0,1,1,1.0
27.0,1,1,1.0
