dob_violation_number,total_penalty
072809CSSU1202,1600
082109CSTFCS02,2400
071709CSSUJAF01,400
080708C18JL02,8000
102709ASTFGM03,24000
111909ASTFGM13,25000
012696LL1080NRF,880
101409ASTFMS01,2400
103009ASTFCS02,12000
081209CSTFAA12,2000
070909CDOEJM12,0
102809ASTFJH04,12000
010909C12HS03,0
091109ASTFAA03,12000
071910LLFEC01,4000
032500C01GS05,3050
111209C11TS07,0
110909C01AM02,0
091109ASTFAA06,2400
042209CEXGYG01,0
072409CSSU1204,4000
101708LL1198,0
081709CSTFCS02,12000
010610A13JNG05,96000
092909ASTFJH05,24000
032008C01WO02,2500
081909ASTFGM04,12000
092209ASTFJM07,12000
121009ASTFJH03,24000
052009CSSSTDL020,0
021710A07SA11,5160
063003C03AP01,250
110609ASTFJM02,12000
010710CSTFRC05,12000
091709ASTFGM03,12000
110308C05RM01,1000
102309A13MA08,2400
081409ASTFMA14,12000
112409ASTFJH07,36000
091809C04KS02,500
090309C07SA04,2400
120909ASTFNS03,0
042908CSTFMS03,500
022309E1041C01,250
080909CDOEJM06,0
031809C04XZ01,1600
042199P7SF3,2500
092409ASTFNS41,2400
120809ASTFNS04,24000
072109C05KB02,800
