academicopportunities4,academicopportunities5,program3,academicopportunities3,eligibility3,grade9swdapplicants1,grade9geapplicants5,grade9geapplicantsperseat5,rank,dense_rank
"Internships and training through industry partners: MTA, Amtrak, ASI System Integration, DIIT, Scholars At Work, NYC Division of School Facilities","CUNY College Now courses, Advanced Placement courses, College-Level CTE courses, Skills USA, National Technical Honor Society, Industry Certifications",Transit Industrial Electrician,"Project Lead the Way: STEM courses in Introduction to Engineering Design, Digital Electronics, and Computer Science",,112.0,71,1,1,1
"Sponsors for Educational Opportunity (SEO), School Construction Authority Summer Internships, International Travel","PENCIL Business School Partnership, Digital Ready, Girls ROCK, Summer Scholars, FDA VII HS/Grace Church Regents Prep and Life Skills",,"CUNY College Now with Brooklyn College, Baruch College STEP (Science and Technology Entry Program), Brownsville Youth Court",,69.0,,,1,1
"Courtroom, Forensic Laboratory, Fitness Center, Rooftop Track, Television Production Studio, Music Studio, Art Studio, Computer Labs",Advanced Placement For All and College Access For All,,"Electives: Intro to Law Enforcement, Intro to Public Safety, Forensic Sci, Forensics and Anatomy, Intro to Law Careers, Criminal Justice, NYPD Fitness",,130.0,,,1,1
Partnership with Lincoln Center Theater. English as a New Language students participate in Learning English and Drama (LEAD) Project.,"We partner FYREZONE (Finding Your Rhythm thru Education) -students learn video and music production, songwriting, and dance production.",,Partnership with Queens Museum of the Arts -exhibit of student work featured at the Queens Museum of Arts each year.,,156.0,,,1,1
"Leadership, Conflict Resolution, Journalism, Yearbook Publication, Coding, Advanced Art, Computer Courses",,,"CUNY College Now at RFK Campus-Queensborough Community College, Adv. Art, Digital Photography, Computer Apps, Web Design, Criminal Justice, Robotics",,94.0,,,1,1
"iLearnNYC: Program for expanded online coursework and self-paced learning; AIS: Empower 3000 for literacy, Blended learning in ELA and Mathematics",,,"College Preparatory Program, After-School Tutoring, CUNY College Now at Lehman College",,131.0,,,1,1
,,,,,,,,1,1
,,,,,,,,1,1
,,,,,,,,1,1
,,,,,,,,1,1
,,,,,,,,1,1
,,,,,,,,1,1
College Now program affiliation through CUNY allows qualified students to earn up to 12 college credits while in high school.,AP for All Program,,Advisory and Right to Read (R2R)-our literacy support program.,,263.0,,,1,1
"College credit opportunities: CUNY College Now, Pace Upward Bound, Medgar Evers Early College, St. Joseph's College",Restorative Practices and Positive Behavior Intervention and Support Programs; Internships,Electrical Installation and Practice,"AP courses: English Literature & Composition, English Language & Composition, US History, World History, Computer Science Principles, Environmental Science.",,181.0,191,4,1,1
Frequent class trips and partnerships with community organizations allow us to use the city as our classroom and expose students to new opportunities,We are a school founded on a commitment to social justice and Restorative Justice principles that ensure our community is safe and equitable for all.,,We are a College Access for All school. Annual college and career days and college visits expose all students to college and career options.,,73.0,,,1,1
"SAT Preparation, Advisory, International Trips, Service Learning Projects, Paid Internships, Beat-making, Recording Studio","Cheerleading, Dance, Mentoring, Hip-Hop Therapy, buildOn, Drumming-Marching Band",,"Studio Art, Advanced Art, Drawing, Photography, AP Spanish, AP World History, AP English Lit, App Development through Apple, Digital Media, Coding",,105.0,,,1,1
Rigorous instructional intensive through tutoring and credit-earning classes to support credit accumulation.,Advisory/Guidance support program grades 9-12 addressing social/emotional needs and college- and career-readiness.,Brooklyn Studio Secondary School for Current Students,Inclusive Special Education Program grounded in the Instructional Co-Teaching model; Supportive English as a New Language program in ELA and core academic courses.,Open only to continuing eighth graders,77.0,,,1,1
Four-year writing program,CUNY College Now,,Learning cultures curriculumÃÂ¢ÃÂÃÂprogressive pedagogical model emphasizing student agency and intention,,71.0,,,1,1
"Biology, Life-Saving skills, Human Anatomy, Fire Science, extinguishing agents and their chemical make-up",Students learn official procedures for becoming a NYC firefighter,,New York State EMS Certification Exam,,126.0,,,1,1
NDA Paid Internship Program for students in which students are paired with an outside company while receiving academic tutoring.,9X9 Program for average 8th Grade students to take high school classes for credit while completing their 8th Grade portfolio.,,"Programs in: Film Production, Art, Mural Project, Intramural Sports, Cooking Club, Step Team, Dance Class, and Parent GED Classes",,20.0,,,1,1
Moodys Summer Experience: Four-week summer program for all incoming 9th graders,W!SE Institute: Wednesday enrichment program with elective seminars,,Exchange programs with Martha's Vineyard High School,,234.0,,,1,1
"Industry mentoring program, college and career trips, team-building activities; FRC and FTC robotics; fabrication and maker classes at Cornell Tech.","Monthly Town Hall meetings, weekly advisory groups, extended day/week/year; tutoring and office hours available; student leadership opportunities.",,Internship and other career opportunities required; offsite technical training; networking fairs and career classes offered to all students.,,227.0,,,1,1
"Other Electives include 10 different art and music classes (e.g. Photography, Multimedia Art, Piano, Hip Hop), Culinary Arts, Cinema Studies, etc.","Small group advisories that focus on community circles, social emotional support, academic & social bonding, trips, and academic portfolio assessment",,"Leadership offerings include Peer Advisory Leaders, Peer Mentoring, Restorative Justice Coordinators, Teachers Assistants, and Learning Leaders",,225.0,,,1,1
"Partners: Ballet Hispanico, Dance Wave, Lar Lubovitch, Martha Graham, Opus Dance, Paul Taylor, Pascal Rioult, SUNY Brockport, Young Dancemaker's",Teachers: Five Academy for Teachers Fellows; 57% of full-time math and science faculty are Math for America Fellows.,Dance: Ballet and Modern,"Partners: American Folk Art Museum, Buffalo State, ETA, Park Avenue Armory, Roundabout Theatre, TDF, Tribeca Film Institute, UCB, Western Wind",,32.0,145,6,1,1
"Software Engineering Program (SEP), Robotics, Graphic Design, Digital Textiles, Junior/Senior Internships, CUNY College Now, and AP classes","Regents Prep, Office Hours, Advisory, Enrichment, Pupilpath, Kinvolved, and Arts classes (origami, music production, video/film, Photoshop, etc.)",,Software Engineering is a required course at our school,,114.0,,,1,1
