neighborhood_tabulation_area,prevailing_wage_status,category,count,avg_value,total_value,max_value
BK0702,Non Prevailing Wage,Small,6,6.0,36,8
BK1702,Non Prevailing Wage,Small,1,36.0,36,36
MN0703,Non Prevailing Wage,Small,4,14.5,58,19
BX0502,Non Prevailing Wage,Large,1,111.0,111,111
BX0702,Non Prevailing Wage,Small,1,44.0,44,44
BX0401,Non Prevailing Wage,Medium,1,75.0,75,75
BK1703,Non Prevailing Wage,Small,1,9.0,9,9
BX1203,Non Prevailing Wage,Small,1,25.0,25,25
QN1401,Non Prevailing Wage,Small,1,26.0,26,26
BX0502,Non Prevailing Wage,Small,1,42.0,42,42
BX0401,Non Prevailing Wage,Small,2,8.0,16,11
QN0201,Non Prevailing Wage,Large,1,240.0,240,240
MN1001,Non Prevailing Wage,Medium,1,56.0,56,56
BX0303,Non Prevailing Wage,Large,2,138.0,276,169
SI0107,Non Prevailing Wage,Large,12,122.0,1464,122
QN0105,Non Prevailing Wage,Medium,1,63.0,63,63
BX0904,Non Prevailing Wage,Small,1,24.0,24,24
BX0101,Non Prevailing Wage,Small,2,32.0,64,42
QN0103,Non Prevailing Wage,Medium,1,68.0,68,68
BK0202,Non Prevailing Wage,Medium,1,73.0,73,73
BX0402,Non Prevailing Wage,Small,1,8.0,8,8
BK0502,Non Prevailing Wage,Small,4,15.5,62,50
MN1002,Non Prevailing Wage,Small,1,48.0,48,48
BX0403,Non Prevailing Wage,Medium,1,98.0,98,98
SI0107,Non Prevailing Wage,Small,60,1.0,60,1
QN0201,Non Prevailing Wage,Small,1,34.0,34,34
BX0302,Non Prevailing Wage,Small,7,25.571428571428573,179,48
BK0402,Non Prevailing Wage,Small,4,6.25,25,8
MN0302,Non Prevailing Wage,Large,1,219.0,219,219
BX1202,Non Prevailing Wage,Small,270,10.933333333333334,2952,15
