location_name,total_wifi_down
Jacob A. Riis Neighborhood Settlement Community Center,0.0
High Bridge Library,1000.0
Greenbelt Media Lab,
Rugby Library,100.0
Saint Nicholas Social Club,420.2
Melrose Mott Haven Neighborhood Senior Center,84.7
Cypress Hills Adult Social Club,416.6
Broad Channel Library,24.4
Club Holliswood Older Adult Center,94.1
St Charles Neighborhood Senior Center,97.5
Sue Ginsburg Older Adult Center,91.0
South Jamaica Cornerstone Community Center,10.4
Stanley M. Isaacs Neighborhood Community Center,0.0
Coney Island Library,100.0
North Forest Park Library,24.4
Harry Belafonte 115th Street Library,1000.0
SAGE Center Harlem,511.4
Independence Plaza Older Adult Center,24.3
Scheuer House of Coney Island Older Adult Center,92.1
McCarren Media Lab,103.6
Carver Neighborhood Older Adults Center,96.0
Lenox Hill Neighborhood House,92.4
