brooklyn_cooperatives_comparable_properties_neighborhood,brooklyn_cooperatives_comparable_properties_year_built,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_sqft,brooklyn_cooperatives_comparable_properties_estimated_gross_income,brooklyn_cooperatives_comparable_properties_building_classification,brooklyn_cooperatives_comparable_properties_net_operating_income
GRAVESEND,1927,2633000,42840,655452,D4-ELEVATOR,383418
PROSPECT HEIGHTS,1940,6751000,140595,2048469,D4-ELEVATOR,977135
PROSPECT HEIGHTS,1931,2074000,19564,452320,C6-WALK-UP,284070
PROSPECT HEIGHTS,1910,1147000,15000,266100,C6-WALK-UP,159000
BOERUM HILL,1931,788000,8782,194697,C6-WALK-UP,109951
FLATBUSH-EAST,1950,9073000,295200,3359376,D4-ELEVATOR,1411056
FLATBUSH-EAST,1963,4301000,82440,1137672,D4-ELEVATOR,652100
SHEEPSHEAD BAY,1963,3758000,70710,991354,D4-ELEVATOR,571337
SHEEPSHEAD BAY,1959,2025000,52360,576484,D4-ELEVATOR,327774
OCEAN PARKWAY-NORTH,1915,1558000,59600,597848,D4-ELEVATOR,249669
FORT GREENE,1958,6343000,187667,2041817,D4-ELEVATOR,1024662
BUSHWICK,1935,1030000,36000,381960,D4-ELEVATOR,165960
WINDSOR TERRACE,1914,439000,31200,202824,C6-WALK-UP,73764
BOROUGH PARK,1931,3744000,118800,1349568,D4-ELEVATOR,582120
BOROUGH PARK,1922,2140000,36980,598706,C6-WALK-UP,314330
BRIGHTON BEACH,1925,1186000,28480,341475,C6-WALK-UP,186259
BROWNSVILLE,1962,6033000,398223,2906010,D4-ELEVATOR,1017101
FLATBUSH-CENTRAL,1931,1342000,78600,784428,D4-ELEVATOR,267240
BENSONHURST,1926,1428000,48000,493440,D4-ELEVATOR,229440
PARK SLOPE,1923,1270000,17800,282105,C6-WALK-UP,185852
BROOKLYN HEIGHTS,1899,5017000,114445,1778475,D4-ELEVATOR,732448
BROOKLYN HEIGHTS,1900,3534000,38760,924426,D4-ELEVATOR,485275
BROOKLYN HEIGHTS,1927,3397000,49158,884844,D4-ELEVATOR,471425
