senior_care_community_living,last_modified_date_water,water_score_multifamily_only,last_modified_date_electric,water_current_date,category,count,avg_value,total_value,max_value
,02/13/2018 11:50 AM EST,,04/03/2018 03:24 PM EDT,2017-12-31 00:00:00,High usage,1,4213110.4,4213110.4,4213110.4
,04/03/2018 09:38 AM EDT,,03/15/2018 03:41 PM EDT,2017-12-31 00:00:00,High usage,1,15613894.2,15613894.2,15613894.2
,02/27/2018 04:12 PM EST,,02/27/2018 04:00 PM EST,2018-01-31 00:00:00,High usage,1,1078289.2,1078289.2,1078289.2
,02/13/2018 12:15 PM EST,,03/15/2018 04:00 PM EDT,2017-12-31 00:00:00,High usage,1,1533888.1,1533888.1,1533888.1
,03/03/2018 10:00 AM EST,,,2017-12-31 00:00:00,High usage,4,4587306.2,18349224.8,4587306.2
,,,02/23/2018 10:58 AM EST,,High usage,1,8942751.7,8942751.7,8942751.7
,02/13/2018 12:18 PM EST,,03/29/2018 12:23 PM EDT,2017-12-31 00:00:00,High usage,1,12498702.2,12498702.2,12498702.2
,02/13/2018 12:04 PM EST,,03/20/2018 10:24 AM EDT,2017-12-31 00:00:00,High usage,1,46433015.8,46433015.8,46433015.8
,02/13/2018 12:32 PM EST,,03/20/2018 11:42 AM EDT,2017-12-31 00:00:00,High usage,1,5083524.1,5083524.1,5083524.1
,04/04/2018 11:33 AM EDT,,04/04/2018 11:14 AM EDT,2017-12-31 00:00:00,High usage,1,3635456.1,3635456.1,3635456.1
,01/22/2018 01:50 PM EST,,,2017-12-31 00:00:00,High usage,1,5917640.5,5917640.5,5917640.5
,02/13/2018 12:24 PM EST,,04/03/2018 01:31 PM EDT,2017-12-31 00:00:00,High usage,2,5820480.1,11640960.2,5820480.1
,,,03/07/2018 04:25 PM EST,,High usage,1,3577779.7,3577779.7,3577779.7
,,,03/29/2018 01:10 PM EDT,,High usage,2,4032852.7,8065705.4,4032852.7
,03/29/2018 09:30 AM EDT,,03/15/2018 03:41 PM EDT,2017-12-31 00:00:00,High usage,1,15613894.2,15613894.2,15613894.2
,,,03/26/2018 11:56 AM EDT,,High usage,1,10229890.6,10229890.6,10229890.6
,03/07/2018 07:09 PM EST,,03/07/2018 07:09 PM EST,2018-01-31 00:00:00,High usage,1,108212515.4,108212515.4,108212515.4
,02/13/2018 12:07 PM EST,75.0,03/08/2018 10:28 AM EST,2017-12-31 00:00:00,High usage,1,4478470.2,4478470.2,4478470.2
,02/13/2018 12:30 PM EST,,02/20/2018 09:53 AM EST,2017-12-31 00:00:00,High usage,1,74484532.8,74484532.8,74484532.8
,02/16/2018 02:56 PM EST,,02/19/2018 01:45 PM EST,2017-12-31 00:00:00,High usage,3,144376363.7,433129091.09999996,144376363.7
,,,02/23/2018 10:36 AM EST,,High usage,1,6719198.7,6719198.7,6719198.7
1.584,,,,2016-12-31 00:00:00,High usage,1,12397894.1,12397894.1,12397894.1
,,,03/26/2018 09:10 AM EDT,,High usage,2,4032852.7,8065705.4,4032852.7
,03/29/2018 02:11 PM EDT,,03/27/2018 03:48 PM EDT,2017-12-31 00:00:00,High usage,1,3824651.8,3824651.8,3824651.8
,,,,,High usage,1,3602574.3,3602574.3,3602574.3
,02/21/2018 02:33 PM EST,,,2017-12-31 00:00:00,High usage,1,930360.3,930360.3,930360.3
,,,03/16/2018 01:45 PM EDT,2015-11-30 00:00:00,High usage,1,10931594.6,10931594.6,10931594.6
,03/30/2018 03:58 PM EDT,,03/26/2018 09:10 AM EDT,2017-12-31 00:00:00,High usage,1,3294803.5,3294803.5,3294803.5
,03/13/2018 10:38 AM EDT,,03/05/2018 09:05 AM EST,2017-12-31 00:00:00,High usage,1,13420633.1,13420633.1,13420633.1
,02/22/2018 11:37 AM EST,,03/12/2018 03:13 PM EDT,2017-12-31 00:00:00,High usage,1,6136383.9,6136383.9,6136383.9
,02/13/2018 11:53 AM EST,,03/22/2018 04:25 PM EDT,2017-12-31 00:00:00,High usage,1,18583673.8,18583673.8,18583673.8
,02/28/2018 12:24 PM EST,,02/15/2018 03:27 PM EST,2017-12-31 00:00:00,High usage,1,15046599.3,15046599.3,15046599.3
,,,04/26/2018 11:46 AM EDT,,High usage,1,4054962.9,4054962.9,4054962.9
,03/13/2018 10:40 AM EDT,,03/08/2018 09:24 AM EST,2017-12-31 00:00:00,High usage,1,11597691.4,11597691.4,11597691.4
,02/13/2018 12:02 PM EST,,03/27/2018 11:21 AM EDT,2017-12-31 00:00:00,High usage,1,12429923.4,12429923.4,12429923.4
,02/13/2018 12:26 PM EST,,04/03/2018 05:13 PM EDT,2017-12-31 00:00:00,High usage,1,7618705.4,7618705.4,7618705.4
,02/19/2018 03:33 PM EST,,02/06/2018 08:15 AM EST,2017-12-31 00:00:00,High usage,6,8109106.7,48654640.2,8109106.7
,03/29/2018 04:30 PM EDT,,03/29/2018 01:35 PM EDT,2017-12-31 00:00:00,High usage,1,90478256.5,90478256.5,90478256.5
,03/09/2018 02:10 PM EST,1.0,03/09/2018 01:27 PM EST,2018-01-31 00:00:00,High usage,2,5111342.5,10222685.0,5111342.5
,03/06/2018 09:37 AM EST,,03/06/2018 09:26 AM EST,2017-12-31 00:00:00,High usage,1,15161093.5,15161093.5,15161093.5
,02/13/2018 11:53 AM EST,,03/02/2018 03:41 PM EST,2017-12-31 00:00:00,High usage,1,4363687.2,4363687.2,4363687.2
,03/13/2018 09:33 AM EDT,,01/23/2018 04:24 PM EST,,High usage,1,3549760.1,3549760.1,3549760.1
,02/13/2018 12:28 PM EST,,04/04/2018 09:24 AM EDT,2017-12-31 00:00:00,High usage,1,6876680.6,6876680.6,6876680.6
,03/12/2018 12:19 PM EDT,,03/13/2018 09:27 AM EDT,2017-12-31 00:00:00,High usage,1,10675850.4,10675850.4,10675850.4
,02/26/2018 09:28 AM EST,,03/04/2018 11:12 AM EST,2017-12-31 00:00:00,High usage,2,5326041.15,10652082.3,6359561.5
,03/22/2018 03:55 PM EDT,,03/20/2018 02:28 PM EDT,2017-12-31 00:00:00,High usage,1,39547150.7,39547150.7,39547150.7
,03/25/2018 06:50 PM EDT,,03/25/2018 06:36 PM EDT,2017-12-31 00:00:00,High usage,1,66095709.6,66095709.6,66095709.6
,02/13/2018 11:57 AM EST,,02/26/2018 02:34 PM EST,2017-12-31 00:00:00,High usage,1,12410330.9,12410330.9,12410330.9
,02/13/2018 12:31 PM EST,,03/16/2018 05:08 PM EDT,2017-12-31 00:00:00,High usage,2,5918097.4,11836194.8,5918097.4
,,,03/12/2018 08:57 PM EDT,,High usage,1,17514005.0,17514005.0,17514005.0
,02/13/2018 12:00 PM EST,,03/12/2018 10:09 AM EDT,2017-12-31 00:00:00,High usage,1,8803368.5,8803368.5,8803368.5
,02/13/2018 04:36 PM EST,,02/19/2018 01:52 PM EST,2017-12-31 00:00:00,High usage,2,51326296.3,102652592.6,51326296.3
