manhattan_condominiums_comparable_properties_neighborhood,manhattan_condominiums_comparable_properties_building_classification,total,average,count
GREENWICH VILLAGE-WEST,R2-CONDOMINIUM,5688001,2844000.5,2
MIDTOWN EAST,R9-CONDOMINIUM,54824000,27412000.0,2
CLINTON,R4-CONDOMINIUM,62080991,62080991.0,1
FINANCIAL,R4-CONDOMINIUM,155560004,155560004.0,1
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,50150004,25075002.0,2
UPPER EAST SIDE (59-79),R4-CONDOMINIUM,58736538,14684134.5,4
MIDTOWN WEST,R4-CONDOMINIUM,71436871,23812290.333333332,3
FLATIRON,R4-CONDOMINIUM,5420000,5420000.0,1
UPPER WEST SIDE (79-96),R4-CONDOMINIUM,94441023,31480341.0,3
MURRAY HILL,R4-CONDOMINIUM,70435644,23478548.0,3
CHELSEA,R4-CONDOMINIUM,23092995,11546497.5,2
FLATIRON,R9-CONDOMINIUM,8327000,8327000.0,1
MIDTOWN WEST,R9-CONDOMINIUM,5618000,5618000.0,1
TRIBECA,R9-CONDOMINIUM,2798000,2798000.0,1
SOHO,R4-CONDOMINIUM,16968001,5656000.333333333,3
ALPHABET CITY,R2-CONDOMINIUM,1765999,1765999.0,1
EAST VILLAGE,R4-CONDOMINIUM,7542000,3771000.0,2
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,19958002,9979001.0,2
EAST VILLAGE,R9-CONDOMINIUM,13580000,13580000.0,1
TRIBECA,R4-CONDOMINIUM,105817015,52908507.5,2
LOWER EAST SIDE,R4-CONDOMINIUM,17869000,17869000.0,1
CHELSEA,R9-CONDOMINIUM,27000000,27000000.0,1
UPPER WEST SIDE (59-79),R4-CONDOMINIUM,101012015,20202403.0,5
MIDTOWN EAST,R4-CONDOMINIUM,336088024,112029341.33333333,3
FINANCIAL,R9-CONDOMINIUM,4449000,4449000.0,1
FINANCIAL,RR-CONDOMINIUM,1875000,1875000.0,1
