c_code,intempname,intcity,committee,boroughcd,candfirst,category,count,avg_value,total_value,max_value
IND,,,H,M,Paul,medium,3,800.0,2400.0,1000.0
IND,ConEdison,Brooklyn,P,Z,Bill,medium,3,400.0,1200.0,400.0
IND,,,P,Q,Bill,medium,4,306.25,1225.0,400.0
IND,,,P,S,Bill,medium,2,400.0,800.0,400.0
IND,,,P,K,Bill,small,69,51.17391304347826,3531.0,100.0
IND,,,P,M,Paul,medium,1,400.0,400.0,400.0
IND,ConEdison,Brooklyn,P,Q,Bill,medium,3,400.0,1200.0,400.0
IND,ConEdison,Brooklyn,P,Z,Paul,medium,1,400.0,400.0,400.0
IND,Cushman & Wakefield Inc.,New York,H,M,Paul,medium,1,1000.0,1000.0,1000.0
IND,,,P,M,Bill,small,10,65.0,650.0,100.0
IND,Choice New York Managment LLC,Warren,H,S,Paul,medium,1,250.0,250.0,250.0
IND,"Milrose Consultants, Inc.",East Williston,H,M,Paul,medium,1,500.0,500.0,500.0
IND,Cushman & Wakefield Inc.,New York,H,M,Nicole,small,1,100.0,100.0,100.0
IND,,,H,M,Nicole,small,2,100.0,200.0,100.0
IND,,,P,K,Bill,medium,10,520.0,5200.0,1000.0
IND,Cushman & Wakefield Inc.,New York,H,M,Nicole,medium,1,175.0,175.0,175.0
IND,,,H,M,Nicole,medium,2,175.0,350.0,175.0
IND,,,P,Z,Paul,medium,1,400.0,400.0,400.0
IND,Cushman & Wakefield Inc.,New York,H,M,Nicole,large,1,4950.0,4950.0,4950.0
IND,,,H,M,Nicole,large,2,4950.0,9900.0,4950.0
IND,,,P,Z,Bill,medium,13,371.15384615384613,4825.0,500.0
IND,,,H,S,Nicole,small,2,37.5,75.0,50.0
IND,,,P,Q,Bill,small,40,64.2,2568.0,100.0
IND,,,P,Z,Josh,medium,4,500.0,2000.0,500.0
IND,ConEdison,Brooklyn,P,Q,Paul,medium,1,400.0,400.0,400.0
IND,,,P,M,Bill,medium,16,373.4375,5975.0,500.0
IND,Cushman & Wakefield Inc.,New York,P,M,Bill,medium,1,400.0,400.0,400.0
IND,,,H,S,Nicole,medium,1,300.0,300.0,300.0
IND,,,P,Z,Bill,small,8,87.5,700.0,100.0
