bin,latitude,longitude,block,street_name,inspection_date,si_req_debris_insects,meet_standards,ecoli,nys_certified,rank,dense_rank
1001830.0,40.715447,-74.00189,166,Centre Street,2015-12-16,Y,,A,Y,1,1
1001652.0,40.716182,-74.00694,151,Church Street,2021-12-18,Y,,A,Y,1,1
1064381.0,40.857216,-73.935538,2179,FORT WASHINGTON AVE,2025-05-27,Y,,A,Y,1,1
2051300.0,40.863941,-73.868401,4429,Olinville Avenue,2025-03-31,Y,,A,Y,1,1
1028511.0,40.775223,-73.977673,1122,WEST 70 STREET,2016-12-22,Y,,A,Y,1,1
1028511.0,40.775223,-73.977673,1122,WEST 70 STREET,2016-12-22,Y,,A,Y,1,1
3321834.0,40.573621,-73.996127,7050,West 30 Street,2019-07-31,Y,,A,Y,1,1
1021900.0,40.744404,-73.974962,940,East 34th Street,2024-07-28,Y,,A,Y,1,1
1083746.0,40.76009,-73.994502,1052,West 43rd Street,2024-02-08,Y,,A,Y,1,1
1009431.0,40.732484,-73.996193,572,Fifth Avenue,2022-03-08,Y,,A,Y,1,1
1009431.0,40.732484,-73.996193,572,Fifth Avenue,2022-03-08,Y,,A,Y,1,1
1009431.0,40.732484,-73.996193,572,Fifth Avenue,2022-03-08,Y,,A,Y,1,1
1030257.0,40.781461,-73.976414,1150,WEST 78 STREET,2015-09-22,Y,,A,Y,1,1
1014511.0,40.75547,-73.989616,789,WEST 40 STREET,2017-08-10,Y,,A,Y,1,1
1014511.0,40.75547,-73.989616,789,WEST 40 STREET,2017-08-10,Y,,A,Y,1,1
1015862.0,40.748276,-73.98469,835,5th Avenue,2020-07-15,Y,,A,Y,1,1
1015862.0,40.748276,-73.98469,835,5th Avenue,2020-07-15,Y,,A,Y,1,1
1036466.0,40.757943,-73.971322,1307,Lexington Avenue,2021-09-18,Y,,A,Y,3,1
1036466.0,40.757943,-73.971322,1307,Lexington Avenue,2021-09-18,Y,,A,Y,3,1
