license_number,industry_sector,book_ahead_service,category,count,avg_value,total_value,max_value
B01912,black car,Not Reported,low risk,1,0.06,0.06,0.06
B02518,black car,Not Reported,low risk,1,0.0,0.0,0.0
B02067,livery,Not Reported,low risk,1,0.01,0.01,0.01
B02457,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B02707,livery,Not Reported,low risk,1,0.0,0.0,0.0
B02113,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B02420,livery,Not Reported,low risk,1,0.0,0.0,0.0
B01492,livery,Not Reported,low risk,1,0.03,0.03,0.03
B01336,livery,Not Reported,low risk,1,0.04,0.04,0.04
B02800,black car,Not Reported,low risk,1,0.01,0.01,0.01
B00029,livery,Not Reported,low risk,1,0.0,0.0,0.0
B00919,livery,Not Reported,low risk,1,0.0,0.0,0.0
B00078,luxury limo,Yes,low risk,1,0.0,0.0,0.0
B02639,black car,Not Reported,low risk,1,0.0,0.0,0.0
B02865,black car,No,low risk,4,0.0,0.0,0.0
B00837,luxury limo,Not Reported,low risk,1,0.01,0.01,0.01
B02067,black car,Yes,low risk,1,0.01,0.01,0.01
B02050,livery,Not Reported,low risk,1,0.0,0.0,0.0
B01051,livery,Not Reported,low risk,1,0.01,0.01,0.01
B01854,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B00992,livery,Not Reported,low risk,1,0.06,0.06,0.06
B01741,livery,Not Reported,low risk,1,0.03,0.03,0.03
B01268,livery,Not Reported,low risk,1,0.0,0.0,0.0
B02882,black car,No,low risk,24,0.0,0.0,0.0
B01406,livery,Not Reported,low risk,1,0.0,0.0,0.0
B02536,livery,Not Reported,low risk,4,0.0,0.0,0.0
B00111,black car,Not Reported,low risk,1,0.02,0.02,0.02
B01236,luxury limo,Yes,low risk,1,0.0,0.0,0.0
B02662,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B01976,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B00889,livery,Yes,low risk,1,0.01,0.01,0.01
B01083,livery,Not Reported,low risk,1,0.01,0.01,0.01
B00290,livery,Not Reported,low risk,1,0.04,0.04,0.04
B02845,black car,Not Reported,low risk,1,0.0,0.0,0.0
B02569,livery,Not Reported,low risk,2,0.0,0.0,0.0
B02382,luxury limo,Not Reported,low risk,1,0.0,0.0,0.0
B00373,livery,Not Reported,low risk,1,0.0,0.0,0.0
B02772,black car,Not Reported,low risk,1,0.04,0.04,0.04
B02536,black car,Not Reported,low risk,4,0.0,0.0,0.0
B02382,black car,Not Reported,low risk,1,0.0,0.0,0.0
B02429,black car,Not Reported,low risk,4,0.05,0.2,0.05
B02429,livery,Not Reported,low risk,4,0.05,0.2,0.05
