violation_location_borough,compliance_status,total,average,count
BRONX,Penalty Due,0.0,0.0,2
QUEENS,All Terms Met,5000.0,2500.0,2
BROOKLYN,Penalty Due,0.0,0.0,24
QUEENS,Penalty Due,0.0,0.0,8
