house_no,block,t2_block,t3_house_no,filing_type,current_status,total,count,average
136-16,4960,4960,136-16,Auto-Generated,No Report Filed,112000.0,1,112000.0
400,1066,1066,400,Auto-Generated,SWARMP,95400.0,2,47700.0
3,1721,1721,3,Auto-Generated,SAFE,62500.0,1,62500.0
780,3112,3112,780,Auto-Generated,SAFE,51500.0,1,51500.0
411,1131,1131,411,Auto-Generated,SAFE,50500.0,1,50500.0
120,1412,1412,120,Auto-Generated,SAFE,50000.0,1,50000.0
120,1412,1412,120,Auto-Generated,SWARMP,45000.0,1,45000.0
556,1982,1982,556,Initial,SAFE,39950.0,1,39950.0
207,5287,5287,207,Auto-Generated,SWARMP,34750.0,1,34750.0
108,809,809,108,Auto-Generated,SWARMP,33350.0,1,33350.0
117,1210,1210,117,Auto-Generated,SWARMP,28000.0,1,28000.0
3764,4649,4649,3764,Auto-Generated,SAFE,27000.0,1,27000.0
2515,4428,4428,2515,Auto-Generated,SWARMP,26500.0,1,26500.0
59,1262,1262,59,Amended,UNSAFE,26000.0,1,26000.0
2835,3250,3250,2835,Auto-Generated,UNSAFE,24600.0,1,24600.0
162,2290,2290,162,Auto-Generated,SWARMP,24000.0,1,24000.0
1925,15810,15810,1925,Auto-Generated,UNSAFE,23000.0,1,23000.0
217,1029,1029,217,Auto-Generated,SAFE,21000.0,1,21000.0
18,1849,1849,18,Auto-Generated,SAFE,20750.0,1,20750.0
160,3315,3315,160,Auto-Generated,SAFE,18000.0,1,18000.0
137-07,4959,4959,137-07,Auto-Generated,SAFE,17000.0,1,17000.0
122,208,208,122,Auto-Generated,SWARMP,17000.0,1,17000.0
1240,2465,2465,1240,Auto-Generated,SAFE,16750.0,2,8375.0
3980,3252,3252,3980,Auto-Generated,SWARMP,16000.0,1,16000.0
3980,3252,3252,3980,Auto-Generated,SAFE,16000.0,1,16000.0
950,2703,2703,950,Auto-Generated,SWARMP,14500.0,1,14500.0
155,797,797,155,Auto-Generated,SAFE,13250.0,2,6625.0
330,757,757,330,Auto-Generated,SAFE,12750.0,1,12750.0
2857,3253,3253,2857,Auto-Generated,SAFE,12000.0,1,12000.0
29,3078,3078,29,Auto-Generated,UNSAFE,12000.0,1,12000.0
222,1527,1527,222,Auto-Generated,SWARMP,11250.0,1,11250.0
20,6100,6100,20,Auto-Generated,SAFE,11000.0,1,11000.0
1648,1022,1022,1648,Auto-Generated,SWARMP,10250.0,1,10250.0
186,265,265,186,Auto-Generated,SWARMP,9250.0,1,9250.0
225,1152,1152,225,Auto-Generated,SAFE,9000.0,1,9000.0
3299,5785,5785,3299,Auto-Generated,SAFE,9000.0,1,9000.0
2350,1233,1233,2350,Auto-Generated,UNSAFE,8000.0,1,8000.0
355,740,740,355,Initial,SAFE,7500.0,2,3750.0
44,851,851,44,Auto-Generated,SWARMP,7250.0,1,7250.0
108,809,809,108,Auto-Generated,SAFE,6250.0,1,6250.0
406,1456,1456,406,Auto-Generated,SAFE,6000.0,1,6000.0
160,3315,3315,160,Auto-Generated,SWARMP,5000.0,1,5000.0
270,869,869,270,Auto-Generated,SAFE,5000.0,1,5000.0
1105,2505,2505,1105,Auto-Generated,SAFE,4650.0,1,4650.0
919,1011,1011,919,Auto-Generated,UNSAFE,4000.0,1,4000.0
840,1855,1855,840,Auto-Generated,SAFE,3000.0,1,3000.0
162,2290,2290,162,Auto-Generated,SAFE,3000.0,1,3000.0
303,699,699,303,Auto-Generated,SAFE,1000.0,1,1000.0
