facgroup,xcoord,overagency,overlevel,ycoord,schooldist,factype,datasource
YOUTH SERVICES,997368.738724,NYC Department of Youth and Community Development,City,224503.36037,2.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations
TRANSPORTATION,998423.896624,NYC Department of Consumer Affairs,City,220187.216179,2.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses
JUSTICE AND CORRECTIONS,988279.124764,NYC Office of Court Administration,City,217943.126007,2.0,COURTHOUSE,dcp_colp
TRANSPORTATION,993838.927616,NYC Department of Consumer Affairs,City,216756.232056,2.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses
PARKS AND PLAZAS,984048.219265,NYC Department of Parks and Recreation,City,212500.62795,2.0,PLAYGROUND,dpr_parksproperties
HEALTH CARE,997783.783439,NYS Office of Addiction Services and Supports,State,230989.838848,3.0,820 REHAB AND REINTEGRATION,nysoasas_programs
SOLID WASTE,992291.916144,NYC Department of Sanitation,City,228773.947572,3.0,TEXTILES,dsny_donatenycdirectory
TRANSPORTATION,945255.011588,NYC Department of Small Business Services,City,171583.942161,31.0,RAIL LINE,dcp_colp
TRANSPORTATION,931956.799938,NYC Department of Education,City,161353.631578,31.0,SCHOOL BUS DEPOT,doe_busroutesgarages
DAY CARE AND PRE-KINDERGARTEN,931211.179126,NYC Department of Health and Mental Hygiene,City,133589.656834,31.0,SCHOOL BASED CHILD CARE - PRESCHOOL,dohmh_daycare
CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,City,0.0,,THEATER,dcla_culturalinstitutions
HUMAN SERVICES,0.0,Non-public,City,0.0,,SOUP KITCHEN,foodbankny_foodbanks
CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,State,0.0,,THEATER,dcla_culturalinstitutions
HUMAN SERVICES,0.0,Non-public,State,0.0,,SOUP KITCHEN,foodbankny_foodbanks
CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,City,0.0,,THEATER,dcla_culturalinstitutions
HUMAN SERVICES,999401.070575,NYC Housing Authority,City,228897.426648,4.0,NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE EXPANSION,nycha_communitycenters
"OFFICES, TRAINING, AND TESTING",986784.035099,NYC Department of Transportation,City,191977.040701,13.0,OFFICE,dcp_colp
HEALTH CARE,991620.127887,NYS Office of Mental Health,State,186295.112095,13.0,OUTPATIENT MENTAL HEALTH,nysomh_mentalhealth
