bronx_cooperatives_comparable_properties_building_classification,bronx_cooperatives_comparable_properties_total_units,category,count,avg_value,total_value,max_value
D4-ELEVATOR,90,Medium Income,1,1329365.0,1329365,1329365
D4-ELEVATOR,316,High Income,1,3663456.0,3663456,3663456
C6-WALK-UP,26,Low Income,1,178623.0,178623,178623
D4-ELEVATOR,42,Low Income,1,292905.0,292905,292905
C6-WALK-UP,29,Low Income,1,280791.0,280791,280791
D4-ELEVATOR,66,Low Income,1,866250.0,866250,866250
D4-ELEVATOR,104,Medium Income,1,1819778.0,1819778,1819778
D4-ELEVATOR,105,Medium Income,1,1485000.0,1485000,1485000
D4-ELEVATOR,65,Low Income,1,652016.0,652016,652016
C6-WALK-UP,16,Low Income,1,184647.0,184647,184647
D4-ELEVATOR,339,High Income,1,6063200.0,6063200,6063200
D4-ELEVATOR,225,High Income,1,2398500.0,2398500,2398500
D4-ELEVATOR,208,High Income,1,2739200.0,2739200,2739200
D4-ELEVATOR,59,Low Income,1,411720.0,411720,411720
C6-WALK-UP,44,Low Income,1,409530.0,409530,409530
