queens_cooperatives_comparable_properties_neighborhood,property_count,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_gross_income_per_sqft,latitude,longitude,latitude,longitude,bin
SUNNYSIDE,1,65.0,16.0,40.74446,-73.91447,40.74446,-73.91447,4000969.0
FOREST HILLS,1,57.0,14.5,40.720444,-73.840149,40.720444,-73.840149,4052582.0
FLUSHING-NORTH,1,46.6,12.4,40.753627,-73.829534,40.753627,-73.829534,4115401.0
ASTORIA,1,47.5,12.64,40.76506,-73.926801,40.76506,-73.926801,4007112.0
HOWARD BEACH,1,23.62,7.7,40.665862,-73.846602,40.665862,-73.846602,4435022.0
FOREST HILLS,1,48.8,13.0,40.717459,-73.833648,40.717459,-73.833648,4052786.0
FLUSHING-NORTH,1,51.0,13.5,40.761859,-73.82117,40.761859,-73.82117,4113841.0
JACKSON HEIGHTS,1,38.7,11.0,40.752597,-73.877042,40.752597,-73.877042,4035712.0
ELMHURST,1,47.3,12.6,40.735814,-73.880259,40.735814,-73.880259,4064929.0
REGO PARK,1,63.0,15.4,40.723369,-73.857961,40.723369,-73.857961,4074614.0
ROCKAWAY PARK,1,56.0,14.04,40.577032,-73.840589,40.577032,-73.840589,4304908.0
FLUSHING-NORTH,1,49.2,13.08,40.762772,-73.794235,40.762772,-73.794235,4119923.0
CORONA,1,48.0,12.75,40.737783,-73.859463,40.737783,-73.859463,4431751.0
FOREST HILLS,1,66.0,16.2,40.73038,-73.850452,40.73038,-73.850452,4051462.0
KEW GARDENS,1,38.8,11.0,40.702487,-73.831983,40.702487,-73.831983,4193459.0
HOWARD BEACH,1,41.7,11.82,40.668486,-73.846906,40.668486,-73.846906,4434846.0
FLUSHING-NORTH,1,39.1,11.1,40.764407,-73.825557,40.764407,-73.825557,4113180.0
BAYSIDE,1,58.0,14.57,40.780729,-73.781498,40.780729,-73.781498,4443729.0
JAMAICA,1,41.6,11.8,40.710405,-73.791399,40.710405,-73.791399,4210164.0
BEECHHURST,1,40.5,11.5,40.791543,-73.795818,40.791543,-73.795818,4104354.0
FLORAL PARK,1,42.4,12.0,40.742933,-73.701626,40.742933,-73.701626,4454685.0
FOREST HILLS,1,62.0,15.25,40.721494,-73.841131,40.721494,-73.841131,4052427.0
CORONA,1,50.0,13.3,40.758151,-73.856746,40.758151,-73.856746,4431565.0
LITTLE NECK,1,42.3,12.0,40.758562,-73.728177,40.758562,-73.728177,4315314.0
BAYSIDE,1,58.0,14.52,40.785264,-73.781635,40.785264,-73.781635,4455192.0
SUNNYSIDE,1,60.0,15.0,40.739729,-73.92301,40.739729,-73.92301,4002131.0
DOUGLASTON,1,41.4,11.75,40.765057,-73.745255,40.765057,-73.745255,4170057.0
MIDDLE VILLAGE,1,56.0,14.0,40.730248,-73.872786,40.730248,-73.872786,4065248.0
FLUSHING-NORTH,1,48.3,12.85,40.750951,-73.82282,40.750951,-73.82282,4116426.0
MIDDLE VILLAGE,1,55.0,14.0,40.730816,-73.873283,40.730816,-73.873283,4065242.0
FOREST HILLS,1,56.0,14.1,40.718031,-73.839978,40.718031,-73.839978,4078759.0
BRIARWOOD,1,54.0,13.7,40.712633,-73.818554,40.712633,-73.818554,4453850.0
