neighborhood,condo_section,total,average,count
DOWNTOWN-METROTECH,2366-R1,27.2,27.2,1
CROWN HEIGHTS,1531-R1,12.0,12.0,1
BRIGHTON BEACH,233-R1,9.3,9.3,1
BEDFORD STUYVESANT,1874-R1,17.87,17.87,1
BOROUGH PARK,188-R1,17.61,17.61,1
BEDFORD STUYVESANT,1292-R1,29.5,29.5,1
BEDFORD STUYVESANT,1603-R1,29.0,29.0,1
WILLIAMSBURG-NORTH,2053-R1,18.67,18.67,1
MADISON,1407-R1,19.17,19.17,1
MADISON,1359-R1,12.0,12.0,1
MADISON,1495-R1,11.44,11.44,1
WILLIAMSBURG-CENTRAL,1337-R1,20.37,20.37,1
FORT GREENE,232-R1,51.31,17.103333333333335,3
BAY RIDGE,2173-R1,21.0,21.0,1
OCEAN PARKWAY-NORTH,2462-R1,17.5,17.5,1
GRAVESEND,1149-R1,22.46,22.46,1
BOROUGH PARK,2498-R1,0.0,0.0,1
WILLIAMSBURG-NORTH,2440-R1,17.43,17.43,1
PARK SLOPE,2058-R1,22.09,22.09,1
WILLIAMSBURG-NORTH,934-R1,18.23,18.23,1
SHEEPSHEAD BAY,1131-R1,16.66,16.66,1
DOWNTOWN-FULTON FERRY,1181-R1,19.87,19.87,1
BRIGHTON BEACH,920-R1,15.07,15.07,1
FORT GREENE,132-R1,16.71,16.71,1
MADISON,2028-R1,19.71,19.71,1
GREENPOINT,2162-R1,26.4,26.4,1
BEDFORD STUYVESANT,1172-R1,0.0,0.0,1
WILLIAMSBURG-CENTRAL,2013-R1,21.92,21.92,1
