school_name,school_name,attendance_rate,college_career_rate,pct_stu_safe,pbat,grade9geapplicants3,total_swd_applicants
Francis Lewis High School,Francis Lewis High School,0.93,0.82,0.87,,2719.0,434.0
Bronx Aerospace High School,Bronx Aerospace High School,0.81,0.47,0.75,,,96.0
Wings Academy,Wings Academy,0.79,0.35,0.71,,,108.0
Bronx Studio School for Writers and Artists,Bronx Studio School for Writers and Artists,0.85,0.57,0.77,,,145.0
The Cinema School,The Cinema School,0.88,0.78,0.89,,,227.0
Khalil Gibran International Academy,Khalil Gibran International Academy,0.85,0.48,0.85,,,25.0
The Clinton School,The Clinton School,0.96,,0.9,,,279.0
Metropolitan Diploma Plus High School,Metropolitan Diploma Plus High School,0.63,,0.9,,,5.0
Hillside Arts & Letters Academy,Hillside Arts & Letters Academy,0.87,0.63,0.9,,,141.0
Crotona International High School,Crotona International High School,0.85,0.36,0.92,1.0,,34.0
High School of Sports Management,High School of Sports Management,0.76,0.45,0.78,,,108.0
Belmont Preparatory High School,Belmont Preparatory High School,0.86,0.8,0.85,,,311.0
Comprehensive Model School Project M.S. 327,Comprehensive Model School Project M.S. 327,0.88,0.74,0.89,,,232.0
Epic High School - North,Epic High School - North,0.83,,0.92,,,108.0
High School of Arts and Technology,High School of Arts and Technology,0.78,0.44,0.7,,,270.0
Curtis High School,Curtis High School,0.85,0.6,0.76,,316.0,106.0
Theatre Arts Production Company School,Theatre Arts Production Company School,0.81,0.55,0.77,,65.0,31.0
Martin Van Buren High School,Martin Van Buren High School,0.88,0.45,0.71,,296.0,43.0
Transit Tech Career and Technical Education High School,Transit Tech Career and Technical Education High School,0.87,0.41,0.76,,153.0,118.0
The Bronxwood Preparatory Academy,The Bronxwood Preparatory Academy,0.91,0.44,0.82,,,91.0
The Urban Assembly School for Emergency Management,The Urban Assembly School for Emergency Management,0.81,0.71,0.87,,,55.0
