contract_id_,total_stimulus_funding,contract_id_,contract_name,contract_name
QC5100B,1415435674.0,QC5100B,STUDENT SUPPORT SERVICES,STUDENT SUPPORT SERVICES
20090028652,18753652.0,20090028652,"SCO Family of Services, 90815","SCO Family of Services, 90815"
QR1640N,707717837.0,QR1640N,ARTS EDUCATION SERVICES,ARTS EDUCATION SERVICES
EA20541,7450974.0,EA20541,ERP: Repairs,ERP: Repairs
260080766483,4035570.0,260080766483,"Union Settlement Association, 766483","Union Settlement Association, 766483"
90269A,5328321.0,90269A,"Mosholu Montefiore Community Center, Inc., 90269A","Mosholu Montefiore Community Center, Inc., 90269A"
NCLB014,707717837.0,NCLB014,EMPLOYMENT AGENCY PROFESSIONAL SERVICES,EMPLOYMENT AGENCY PROFESSIONAL SERVICES
1C50012,3799240296.0,1C50012,INSTRUCTIONAL LEARNING MATERIALS,INSTRUCTIONAL LEARNING MATERIALS
20090029437,37507304.0,20090029437,"Woodycrest Center For Human Development, 90827","Woodycrest Center For Human Development, 90827"
20090033538,18753652.0,20090033538,"Chinese American Planning Council, 90770","Chinese American Planning Council, 90770"
7105781,1802805303200.0,7105781,TRADE BOOKS,TRADE BOOKS
B058812,56617426960.0,B058812,AUDIO/VIDEO EQUIPMENT AND SERVICES,AUDIO/VIDEO EQUIPMENT AND SERVICES
20090028652,18753652.0,20090028652,"SCO Family of Services, 9975","SCO Family of Services, 9975"
B075108,29426430.0,B075108,INTERACTIVE WHITE BOARDS,INTERACTIVE WHITE BOARDS
1C42802,707717837.0,1C42802,"PRINTING FORMS, CARDS","PRINTING FORMS, CARDS"
189,5710008.0,189,Congregate Meals for the Elderly at Senior Centers,Congregate Meals for the Elderly at Senior Centers
NCLB017,15569792414.0,NCLB017,NCLB,NCLB
7000588,5661742696.0,7000588,TEXTBOOKS,TEXTBOOKS
9010793,9110384567.040056,9010793,Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations
9004135,655000.0,9004135,Leavitt Houses - Roofing Replacement,Leavitt Houses - Roofing Replacement
QC5110D,707717837.0,QC5110D,PD IN SPECIAL ED AREAS,PD IN SPECIAL ED AREAS
7000320,22795441776.0,7000320,TEACH.TXBKS,TEACH.TXBKS
9010865,94899839.24,9010865,Energy Efficient Refrigerators (1),Energy Efficient Refrigerators (1)
7000605,1899620148.0,7000605,TEXTBOOK,TEXTBOOK
9010140,1648528.44,9010140,Expansion of Elevator Remote Monitoring System at Various Locations,Expansion of Elevator Remote Monitoring System at Various Locations
20090029345,18753652.0,20090029345,"St. Nicholas Neighborhood Preservation Corporation, 90821","St. Nicholas Neighborhood Preservation Corporation, 90821"
7000703,1415435674.0,7000703,TEXTBOOKS.,TEXTBOOKS.
20090029447,37507304.0,20090029447,"Rockaway Development & Revitalization Corporation, 90814","Rockaway Development & Revitalization Corporation, 90814"
NCLB014,7784896207.0,NCLB014,NCLB,NCLB
