trailerstate,totalgrossweight,trailerlength,loadlength,startstate,loadheight,overallwidth,endcity,rank,dense_rank
ME,119000,57.0,48.0,NY,8.0,9.11,THE BRONX,2,1
GA,56834,53.0,42.0,NY,7.0,8.06,BROOKLYN,2,2
NJ,161660,53.0,34.0,NY,11.01,12.0,BROOKLYN,1,3
,156664,,65.07,NY,12.08,9.1,BROOKLYN,3,4
ME,79000,53.0,53.0,NY,13.0,9.06,BROOKLYN,3,5
ME,63300,53.0,19.02,NY,10.06,10.06,MASPETH,4,1
PA,53080,53.0,53.0,NY,13.06,8.07,brooklyn,4,1
ME,41000,53.0,53.0,NY,3.0,8.06,,5,4
ON,33000,53.0,53.0,NY,3.0,8.06,,1,4
WA,36500,53.0,53.0,NY,5.0,8.06,,1,8
NH,45000,53.0,53.0,NY,5.0,8.06,,1,8
AL,57000,55.0,55.0,NY,5.0,8.06,,1,8
NY,41950,34.0,28.06,NY,10.0,10.07,,5,9
NY,49000,48.0,48.0,NY,13.06,10.0,,4,11
PA,70000,64.0,60.0,NY,13.06,12.07,,1,11
NY,55000,50.0,50.0,NY,1.06,8.0,Bronx,2,1
NY,49100,52.02,52.02,NY,2.01,8.06,Bronx,3,2
,27500,,40.0,NY,13.0,8.05,Bronx,4,3
PA,67000,53.0,53.0,NY,8.0,8.06,Staten Island,2,1
ME,164380,73.0,73.0,NY,3.0,10.0,MANHATTAN,1,1
NJ,110800,55.0,55.0,NY,4.09,11.02,MANHATTAN,5,2
NJ,110800,55.0,55.0,NY,4.09,11.02,MANHATTAN,5,2
NJ,151400,50.0,40.0,NY,10.0,13.08,MANHATTAN,2,3
NJ,117950,50.0,40.0,NY,10.0,11.06,MANHATTAN,3,3
NJ,117950,50.0,40.0,NY,10.0,11.06,MANHATTAN,3,3
,158400,,58.0,NY,13.01,9.1,MANHATTAN,1,4
,158400,,57.07,NY,13.01,9.1,MANHATTAN,1,4
GA,75000,53.0,53.0,NY,13.06,8.06,MANHATTAN,1,5
GA,34900,45.0,45.0,NY,13.06,8.0,Queens,4,1
PA,55000,47.03,47.03,NY,13.06,8.07,Queens,3,1
GA,47000,44.0,44.0,NY,12.06,8.06,Brooklyn,3,1
PA,53080,53.0,53.0,NY,13.06,8.07,Brooklyn,4,2
GA,24350,45.06,45.06,NY,13.0,8.06,New York,5,1
NY,65100,48.0,48.0,NY,13.04,8.05,New York,1,2
