department,system,system,total_communityb
M-02,MZ393,MZ393,102
B-14,B178-BZ183,B178-BZ183,314
Q-12,QZ499,QZ499,412
Q-11,Q262-QZ466,Q262-QZ466,411
M-14,M072-MZ223,M072-MZ223,109
Q-02,QZ138,QZ138,402
Q-08,QZ775,QZ775,408
B-08,BZ561,BZ561,308
X-09,X148K2-XZ415,X148K2-XZ415,209
Q-13,QZ538,QZ538,413
Q-10,QZ448,QZ448,410
Q-07,QZ148,QZ148,407
Q-01,QZ110,QZ110,401
X-11,X278-XZ146,X278-XZ146,211
Q-11,QZ30,QZ30,411
Q-07A,QZ351,QZ351,407
Q-04,QZ285,QZ285,481
Q-03,QZ239,QZ239,403
Q-07,QZ149,QZ149,407
B-14,B178-BZ182,B178-BZ182,314
Q-01,QZ175,QZ175,401
Q-04,QZ49,QZ49,404
Q-08,QZ763,QZ763,408
X-11,X003-XZ181,X003-XZ181,211
Q-11,QZ82,QZ82,411
Q-06,QZ318,QZ318,406
Q-07,QZ364,QZ364,407
Q-08,QZ128,QZ128,408
Q-08,QZ370,QZ370,408
X-09,X148M-XZ407,X148M-XZ407,209
M-13,MZ104,MZ104,164
Q-03,QZ140,QZ140,403
Q-15,Q099-QZ142B,Q099-QZ142B,481
M-03,M123-MZ300,M123-MZ300,103
Q-07,QZ153,QZ153,407
B-07,B255D-BZ493,B255D-BZ493,307
X-10,X049-XZ405,X049-XZ405,210
X-07,XZ458,XZ458,207
Q-09,QZ429,QZ429,409
Q-08,QZ765,QZ765,408
Q-13,QZ601,QZ601,413
Q-09,Q157-QZ799,Q157-QZ799,409
M-03,MZ234,MZ234,102
M-04,MZ378,MZ378,104
X-05,X082-XZ327,X082-XZ327,205
Q-02,QZ228,QZ228,402
Q-14,QZ689,QZ689,414
B-03,BZ527,BZ527,303
Q-08,QZ389,QZ389,408
Q-13,QZ544,QZ544,413
