queens_condominium_property_neighborhood,queens_condominium_property_gross_income_per_sqft,total,average,count
BRIARWOOD,15.0,285000,285000.0,1
ELMHURST,13.5,4080186,4080186.0,1
FLUSHING-NORTH,15.0,702000,702000.0,1
ELMHURST,14.0,177548,177548.0,1
COLLEGE POINT,21.0,633885,633885.0,1
FLUSHING-NORTH,19.0,1373700,1373700.0,1
HOWARD BEACH,14.5,759800,759800.0,1
FLUSHING-NORTH,14.5,1232500,1232500.0,1
FLUSHING-NORTH,18.0,1829232,1829232.0,1
BRIARWOOD,16.75,3288946,3288946.0,1
LONG ISLAND CITY,25.0,648450,648450.0,1
WOODSIDE,17.5,273577,273577.0,1
REGO PARK,14.0,928536,928536.0,1
FLUSHING-NORTH,20.1,324896,324896.0,1
ELMHURST,18.0,2357640,2357640.0,1
CORONA,21.0,294000,294000.0,1
