project_id,project_name,ulurp_numbers,approval_date,app_filed_date,public_status,project_status,rank,dense_rank
2020R0235,SS 6257 Amboy Road,N200132RCR,,2019-10-08 00:00:00,Completed,Complete,1,1
2019R0445,SS Holten Avenue,N190516RCR,,2019-06-12 00:00:00,Completed,Complete,1,1
2020R0148,SS Woodvale Avenue,N200041RCR,,2019-08-06 00:00:00,Completed,Complete,1,1
2020R0372,SD 243 Robinson Avenue,N200241RCR,,2020-02-07 00:00:00,Completed,Complete,1,1
2020M0305,712 Fifth Avenue,M860200EZSM; M210198LDM,,2020-12-01 00:00:00,Completed,Complete,1,1
2020K0269,420 Kent Avenue Waterfront Compliance,N210057ZAK; N210058ZAK; N210059ZCK; N210060LDK,,,Completed,Complete,1,1
2020K0368,1100 Myrtle Avenue FRESH,N210210ZCK; N210077LDK,2021-07-22 00:00:00,2020-12-08 00:00:00,Completed,Complete,1,1
2019R0431,SD SS 128 Johnson Avenue,190502RCR; 190503RCR,,2019-06-04 00:00:00,Completed,Complete,1,1
2020K0405,870 - 888 Atlantic Avenue Rezoning,C210335ZMK; N210336ZRK; C210260ZSK,2022-04-28 00:00:00,2021-03-26 00:00:00,Completed,Complete,1,1
2021Q0106,Innovation QNS Rezoning and LSGD,C220364ZMQ; C220365ZSQ; C220366ZSQ; C220368ZSQ; C220369ZSQ; C220371ZSQ; C220373ZSQ; C220374ZSQ; N220375LDQ,2022-11-22 00:00:00,2022-03-30 00:00:00,Completed,Active,1,1
2020R0110,SS 34 Woodvale Avenue,N200006RCR,,2019-07-05 00:00:00,Completed,Complete,1,1
2020R0252,600 Metropolitan Avenue,N200308ZCR,,2020-04-10 00:00:00,Completed,Complete,1,1
2020K0389,86 Fleet Place - ZR,N210061ZRK,,2020-08-10 00:00:00,Completed,Complete,1,1
2020M0406,1841 Broadway,N210116ZCM,,2020-10-05 00:00:00,Completed,Complete,1,1
2021R0146,91 & 95 Westentry Road,N240025ZAR,2024-04-08 00:00:00,,Completed,Complete,1,1
2020R0233,"SD SS Arbutus Avenue (Block 6517, Lot 70)",N200120RCR; N200121RCR,,2019-10-07 00:00:00,Completed,Complete,1,1
2021R0144,58 Buttonwood Road,N210464ZAR; N210465ZAR,2022-03-30 00:00:00,2021-06-02 00:00:00,Completed,Complete,1,1
2022R0376,SS 436 Sinclair Avenue,N220348RCR,2022-06-21 00:00:00,2022-03-24 00:00:00,Completed,Complete,1,1
