bin,brooklyn_condominium_property_condo_section,brooklyn_condominium_property_address,brooklyn_condominium_property_boro_block_lot,latitude,longitude,total,count,average
3394020.0,2366-R1,150 MYRTLE AVENUE,3-02060-7501,40.693606,-73.98308,22799990,1,22799990.0
3390791.0,1603-R1,260 SKILLMAN STREET,3-01941-7501,40.690313,-73.956271,5569998,1,5569998.0
3395374.0,2462-R1,597 OCEAN PARKWAY,3-05400-7501,40.634171,-73.972351,4867928,1,4867928.0
3395987.0,1181-R1,50 BRIDGE STREET,3-00031-7502,40.703188,-73.984665,4130004,1,4130004.0
3245729.0,233-R1,200 CORBIN PLACE,3-08723-7501,40.577241,-73.953962,3540000,1,3540000.0
3251605.0,232-R1,415 CARLTON AVENUE,3-01957-7501,40.685322,-73.971281,2749997,1,2749997.0
3378319.0,1172-R1,195 SPENCER STREET,3-01763-7504,40.692272,-73.954705,2559998,1,2559998.0
3061652.0,2440-R1,72 BERRY STREET,3-02303-7501,40.720048,-73.957503,2330003,1,2330003.0
3392431.0,2013-R1,28 LYNCH STREET,3-02235-7505,40.700559,-73.956344,2050004,1,2050004.0
3398632.0,2173-R1,10002 4 AVENUE,3-06137-7502,40.612757,-74.033727,1840000,1,1840000.0
3393894.0,2162-R1,128 NEWTON STREET,3-02719-7503,40.720562,-73.946861,1820002,1,1820002.0
3387577.0,1292-R1,78 SPENCER STREET,3-01734-7512,40.696274,-73.955524,1740004,1,1740004.0
3388788.0,1495-R1,2511 OCEAN AVENUE,3-07325-7501,40.600367,-73.95158,1730003,1,1730003.0
3388752.0,1337-R1,593 FLUSHING AVENUE,3-02264-7520,40.699742,-73.950552,1590000,1,1590000.0
3251652.0,132-R1,159 CARLTON AVENUE,3-02073-7501,40.692797,-73.97276,1499998,1,1499998.0
3392803.0,2028-R1,2523 OCEAN AVENUE,3-07325-7504,40.60015,-73.951541,1460000,1,1460000.0
3256966.0,1131-R1,2806 EAST 23 STREET,3-08783-7502,40.584444,-73.94442,1230002,1,1230002.0
3350125.0,1149-R1,202 QUENTIN ROAD,3-06651-7501,40.605989,-73.978734,1119998,1,1119998.0
3391823.0,1874-R1,417 HART STREET,3-01593-7501,40.694954,-73.933347,1099998,1,1099998.0
3397577.0,2498-R1,4721 8 AVENUE,3-00769-7501,40.642628,-74.002122,1080863,1,1080863.0
3244397.0,920-R1,2943 BRIGHTON 4 STREET,3-08664-7501,40.579951,-73.964274,1080003,1,1080003.0
3255748.0,188-R1,831 43 STREET,3-00925-7501,40.644563,-73.998829,992000,1,992000.0
3388304.0,1359-R1,1833 EAST 13 STREET,3-06819-7501,40.604721,-73.959399,810998,1,810998.0
3028631.0,1531-R1,442 ST MARK'S AVENUE,3-01155-7502,40.676838,-73.960447,472000,1,472000.0
