manhattan_condominium_property_condo_section,total_est_gross_income
594-R1,2662040
660-R1,218736
1438-R1,509522
1895-R1,852950
405-R1,2592550
563-R1,9450000
1709-R1,4085000
515-R1,253260
580-R2,3539304
1815-R1,10518480
1845-R1,2900000
687-R1,700000
1537-R1,1840896
1623-R1,18568432
1828-R1,8450000
1291-R1,1984212
498-R1,23448960
242-R1,6092940
16-R1,16054368
228-R1,1422378
198-R1,612125
410-R1,13811504
766-R1,4060000
229-R1,1423845
1165-R1,51500000
1632-R1,2300000
148-R1,11237765
805-R1,3450000
1616-R1,3030060
1551-R1,2500000
28-R1,845000
2011-R1,5409959
620-R1,7580000
1077-R1,3200000
344-R1,1759200
77-R1,15978816
1463-R1,11835135
323-R1,1980000
484-R1,477273
1902-R1,21908850
966-R1,14113000
2021-R1,0
513-R1,983880
61-R1,5260000
1311-R2,13291717
1559-R1,4500000
1590-R1,3876080
1847-R1,3144024
191-R1,4319140
