vendor_name,payment_count,contract_name,contract_name,vendor_name,funding_category
P.C.Richard & Son,4,Energy Efficient Refrigerators (1),Energy Efficient Refrigerators (1),P.C.Richard & Son,Infrastructure
ACTION PRESS OF PARK SLOPE CORP.,1,"PRINTING FORMS, CARDS","PRINTING FORMS, CARDS",ACTION PRESS OF PARK SLOPE CORP.,Education
"Mosholu Montefiore Community Center, Inc.",1,"Mosholu Montefiore Community Center, Inc., 90269A","Mosholu Montefiore Community Center, Inc., 90269A","Mosholu Montefiore Community Center, Inc.",Economic and Workforce Development
THE CHILD CENTER OF NY,22,NCLB,NCLB,THE CHILD CENTER OF NY,Education
HOUGHTON MIFFLIN COMPANY,2,TEXTBOOKS.,TEXTBOOKS.,HOUGHTON MIFFLIN COMPANY,Education
GOLDMANSOUR CONSULTATION,1,PD IN SPECIAL ED AREAS,PD IN SPECIAL ED AREAS,GOLDMANSOUR CONSULTATION,Education
P. C. Richards & Co.,384,Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,P. C. Richards & Co.,Infrastructure
"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",1,EMPLOYMENT AGENCY PROFESSIONAL SERVICES,EMPLOYMENT AGENCY PROFESSIONAL SERVICES,"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",Education
St. Nicholas Neighborhood Preservation Corporation,1,"St. Nicholas Neighborhood Preservation Corporation, 90821","St. Nicholas Neighborhood Preservation Corporation, 90821",St. Nicholas Neighborhood Preservation Corporation,Economic and Workforce Development
Woodycrest Center For Human Development,2,"Woodycrest Center For Human Development, 90827","Woodycrest Center For Human Development, 90827",Woodycrest Center For Human Development,Economic and Workforce Development
COMMUNITY WORD PROJECT,1,ARTS EDUCATION SERVICES,ARTS EDUCATION SERVICES,COMMUNITY WORD PROJECT,Education
Union Settlement Association,1,"Union Settlement Association, 766483","Union Settlement Association, 766483",Union Settlement Association,Health and Social Support
BARCLAY SCHOOL SUPPLIES,12,INSTRUCTIONAL LEARNING MATERIALS,INSTRUCTIONAL LEARNING MATERIALS,BARCLAY SCHOOL SUPPLIES,Education
"SUSSMAN SALES COMPANY, INC.",72,TEACH.TXBKS,TEACH.TXBKS,"SUSSMAN SALES COMPANY, INC.",Education
"TEQUIPMENT, INCORPORATED",2,INTERACTIVE WHITE BOARDS,INTERACTIVE WHITE BOARDS,"TEQUIPMENT, INCORPORATED",Education
SIGMA CONTRACTING CORP,1,Leavitt Houses - Roofing Replacement,Leavitt Houses - Roofing Replacement,SIGMA CONTRACTING CORP,Infrastructure
SCO Family of Services,1,"SCO Family of Services, 90815","SCO Family of Services, 90815",SCO Family of Services,Economic and Workforce Development
ROURKE PUBLISHING GROUP,6,TEXTBOOK,TEXTBOOK,ROURKE PUBLISHING GROUP,Education
Claddagh Electronics Ltd.,1,Expansion of Elevator Remote Monitoring System at Various Locations,Expansion of Elevator Remote Monitoring System at Various Locations,Claddagh Electronics Ltd.,Infrastructure
SEBCO DEVELOPMENT INC,3,Congregate Meals for the Elderly at Senior Centers,Congregate Meals for the Elderly at Senior Centers,SEBCO DEVELOPMENT INC,Health and Social Support
Chinese American Planning Council,1,"Chinese American Planning Council, 90770","Chinese American Planning Council, 90770",Chinese American Planning Council,Economic and Workforce Development
INGRAM LIBRARY SERVS INC.,3520,TRADE BOOKS,TRADE BOOKS,INGRAM LIBRARY SERVS INC.,Education
B & H FOTO & ELECTRONICS CORP.,80,AUDIO/VIDEO EQUIPMENT AND SERVICES,AUDIO/VIDEO EQUIPMENT AND SERVICES,B & H FOTO & ELECTRONICS CORP.,Education
S J Fuel Co. Inc.,1,ERP: Repairs,ERP: Repairs,S J Fuel Co. Inc.,Neighborhood Stabilization
NYC OUTWARD BOUND CENTER,2,STUDENT SUPPORT SERVICES,STUDENT SUPPORT SERVICES,NYC OUTWARD BOUND CENTER,Education
SCO Family of Services,1,"SCO Family of Services, 9975","SCO Family of Services, 9975",SCO Family of Services,Economic and Workforce Development
Rockaway Development & Revitalization Corporation,2,"Rockaway Development & Revitalization Corporation, 90814","Rockaway Development & Revitalization Corporation, 90814",Rockaway Development & Revitalization Corporation,Economic and Workforce Development
"SCHOLASTIC, INCORPORATED",8,TEXTBOOKS,TEXTBOOKS,"SCHOLASTIC, INCORPORATED",Education
"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",11,NCLB,NCLB,"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",Education
