t2_owner,t4_owner,t4_borough_block_lot,t5_borough_block_lot,total_units,of_res_units,category,count,avg_value,total_value,max_value
THREE O REALTY LLC,THREE O REALTY LLC,1010127501,1010127501,58,0,small capacity,1,5.02,5.02,5.02
162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,1008230037,1008230037,7,0,small capacity,1,6.27,6.27,6.27
"110 W.40 JOINT VEN%ADAMS & CO.,LLC","110 W.40 JOINT VEN%ADAMS & CO.,LLC",1008150039,1008150039,114,0,small capacity,1,8.4,8.4,8.4
12 E. 12TH STREET CORP. /ANDAEWS,12 E. 12TH STREET CORP. /ANDAEWS,1005697501,1005697501,27,26,small capacity,1,5.3,5.3,5.3
119 FIFTH AVE. CORP.,119 FIFTH AVE. CORP.,1008480001,1008480001,9,2,small capacity,1,4.07,4.07,4.07
GVA WILLIAMS REAL ESTATE CO.,GVA WILLIAMS REAL ESTATE CO.,1008010014,1008010014,13,0,small capacity,1,3.43,3.43,3.43
"CHELSEA 25, LLC","CHELSEA 25, LLC",1007750017,1007750017,69,69,small capacity,1,4.2,4.2,4.2
REAL ESTATE INDUSTRIAL INC,REAL ESTATE INDUSTRIAL INC,1010770043,1010770043,3,0,small capacity,1,8.4,8.4,8.4
JOSE TUR,JOSE TUR,1021570081,1021570081,30,30,small capacity,1,2.0,2.0,2.0
227 TENANTS/SANDBERG MGT.CORP.,227 TENANTS/SANDBERG MGT.CORP.,1011960035,1011960035,22,22,small capacity,1,2.59,2.59,2.59
55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,1008930002,1008930002,33,32,small capacity,1,3.4,3.4,3.4
"CITY UNIVERSITY OF NY,ATT:H.N.APSAN","CITY UNIVERSITY OF NY,ATT:H.N.APSAN",1010500006,1010500006,0,0,small capacity,1,0.0,0.0,0.0
