t1_system,t3_system,t4_global_id,t5_global_id,nys_senate,councildis,descriptio
BZ527,BZ527,{3975B5F8-02A5-49DB-A306-C935AEF75870},{3975B5F8-02A5-49DB-A306-C935AEF75870},18,41,Patchen ave & Broadway
Q099-QZ142B,Q099-QZ142B,{3FF1B029-D966-4E2E-B23A-768FDC201093},{3FF1B029-D966-4E2E-B23A-768FDC201093},13,21,Flushing Meadows Park-Greenstreet
QZ544,QZ544,{6B6F9FCA-DA7A-42A8-8620-BC3D23FDBDAA},{6B6F9FCA-DA7A-42A8-8620-BC3D23FDBDAA},14,31,Greenstreet
QZ763,QZ763,{B98E38B0-C9BF-4F37-AEE5-CBD15397B844},{B98E38B0-C9BF-4F37-AEE5-CBD15397B844},"16, 11",24,Greenstreet
X278-XZ146,X278-XZ146,{11466149-FD4E-4093-A48C-ABF3C4D9EDD9},{11466149-FD4E-4093-A48C-ABF3C4D9EDD9},36,13,Greenstreet
B178-BZ182,B178-BZ182,{67FAA13F-19D5-46E9-BD42-FF7E05D2F4A4},{67FAA13F-19D5-46E9-BD42-FF7E05D2F4A4},17,45,GREENSTREET-Flatbush Malls
BZ561,BZ561,{9E8B6B83-A6A6-45C3-9ACF-61D555C83203},{9E8B6B83-A6A6-45C3-9ACF-61D555C83203},20,35,"Vanderbilt Av Pedestrian Refuges, Park to Dean"
MZ104,MZ104,{B6DD36D9-FC0F-4870-A518-2881CE1F487C},{B6DD36D9-FC0F-4870-A518-2881CE1F487C},29,8,Greenstreet
QZ30,QZ30,{78A044A1-9B91-47FB-B3E7-41800DBBAD23},{78A044A1-9B91-47FB-B3E7-41800DBBAD23},16,20,Atlantis Triangle
XZ458,XZ458,{213C4E01-C393-4696-BC07-01079B79C6BE},{213C4E01-C393-4696-BC07-01079B79C6BE},33,15,"Jerome Avenue, Parkview Terrace, and Morris Avenue"
QZ128,QZ128,{556950E0-21BA-4602-B0EB-C70292E8DC27},{556950E0-21BA-4602-B0EB-C70292E8DC27},11,23,Greenstreet
QZ175,QZ175,{20EE525A-9771-4977-9DDB-D6261E69138A},{20EE525A-9771-4977-9DDB-D6261E69138A},13,26,"Greenstreet - Broadway, Northern, 53 Pl"
MZ234,MZ234,{7D1F9525-92DA-4D1D-BE39-B4C2BB067407},{7D1F9525-92DA-4D1D-BE39-B4C2BB067407},26,1,GREENSTREET
QZ689,QZ689,{0D4D2ED9-9370-463A-8F15-5E12A03C0F91},{0D4D2ED9-9370-463A-8F15-5E12A03C0F91},15,32,Greenstreet
QZ765,QZ765,{3A61C5AF-687D-4745-BD4D-335ECD6566EE},{3A61C5AF-687D-4745-BD4D-335ECD6566EE},16,24,Greenstreet
QZ239,QZ239,{53F25638-8C67-43EC-A436-6D5C9A75A8C7},{53F25638-8C67-43EC-A436-6D5C9A75A8C7},13,21,Greenstreet
QZ538,QZ538,{5BE63B01-4848-435E-8BC3-7C9B685EB178},{5BE63B01-4848-435E-8BC3-7C9B685EB178},14,31,Greenstreet
QZ82,QZ82,{726D0E67-176B-4E92-BCDF-BFC4ED8D62DB},{726D0E67-176B-4E92-BCDF-BFC4ED8D62DB},11,23,Greenstreet
X003-XZ181,X003-XZ181,{D0B67972-B96E-4AA8-844C-CB9B576C423D},{D0B67972-B96E-4AA8-844C-CB9B576C423D},34,13,Greenstreet
B255D-BZ493,B255D-BZ493,{B9EB1277-8E93-4CC5-9F1E-779039917084},{B9EB1277-8E93-4CC5-9F1E-779039917084},21,38,Park-Greenstreet
QZ148,QZ148,{F6CB86DA-BE1E-4953-B3CC-128545AC4520},{F6CB86DA-BE1E-4953-B3CC-128545AC4520},11,19,Greenstreet
QZ499,QZ499,{AF3ACA92-9A0B-4ACB-945B-FE31806D71BA},{AF3ACA92-9A0B-4ACB-945B-FE31806D71BA},14,23,Greenstreet
QZ775,QZ775,{B0D413C6-EA5F-4C77-8425-59D4CA74CAEB},{B0D413C6-EA5F-4C77-8425-59D4CA74CAEB},16,24,Greenstreet
M123-MZ300,M123-MZ300,{6DA5534B-5936-45B3-BF19-9F2926D431C2},{6DA5534B-5936-45B3-BF19-9F2926D431C2},26,1,I L Peretz Square-Greenstreet
QZ228,QZ228,{D0712E7D-0FAB-4A51-8E42-153C0ADDD317},{D0712E7D-0FAB-4A51-8E42-153C0ADDD317},12,26,Greenstreet
QZ370,QZ370,{2F797851-E102-428A-A374-CB2C6D657941},{2F797851-E102-428A-A374-CB2C6D657941},11,23,Greenstreet
