dsny_district,police_precinct,categoriesaccepted,dsny_zone,hours,categoriesavailable,rank,dense_rank
QE07,109.0,"Clothing/Personal Accessories, Footwear",QE,,,1,1
QE07,109.0,"Clothing/Personal Accessories, Footwear",QE,,,1,1
QE07,109.0,"Clothing/Personal Accessories, Footwear",QE,,,1,1
QE08,107.0,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",QE,,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",1,1
QE12,103.0,"Clothing/Personal Accessories, Footwear",QE,,,1,1
QE13,116.0,Clothing/Personal Accessories,QE,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",Clothing/Personal Accessories,1,2
QE07,109.0,"Clothing/Personal Accessories, Footwear",QE,,,1,3
QW09,102.0,"Clothing/Personal Accessories, Footwear",QW,,,1,1
QW09,102.0,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",QW,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",1,1
QW01,114.0,"Clothing/Personal Accessories, Footwear",QW,,,1,2
BKN04,83.0,"Clothing/Personal Accessories, Footwear",BKN,,,1,1
BKN04,83.0,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",BKN,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,1,1
BKN05,75.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",BKN,,,1,2
BKN08,77.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",BKN,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",,1,3
BKN03,79.0,,BKN,,,1,4
BKN03,79.0,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BKN,,,1,4
BKN03,79.0,"Clothing/Personal Accessories, Footwear",BKN,,,1,4
BKN01,94.0,"Clothing/Personal Accessories, Footwear",BKN,,,1,5
BKN01,94.0,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",BKN,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",,1,5
BKN01,94.0,,BKN,,Books/Media,1,5
BKN01,94.0,,BKN,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",Books/Media,1,5
BKN01,90.0,Books/Media,BKN,,Books/Media,5,5
BKN01,90.0,Books/Media,BKN,,Books/Media,5,5
MN03,9.0,,MN,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd","Clothing/Personal Accessories, Footwear",1,1
MN03,7.0,,MN,,Clothing/Personal Accessories,2,1
MN02,6.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",1,1
MN02,6.0,,MN,,,1,1
MN02,5.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",3,1
MN12,34.0,"Clothing/Personal Accessories, Footwear",MN,,,1,2
SI02,122.0,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,1,1
