nys_senate,commission,councildis,propname,gstype,organizati
33,2010-01-11 08:00:00+08:00,15,Greenstreet,Greenstreet,NYCPARKS
11,2000-12-01 08:00:00+08:00,24,,Greenstreet,NYCPARKS
11,1998-06-01 08:00:00+08:00,23,,Greenstreet,NYCPARKS
11,1997-12-01 08:00:00+08:00,23,,Greenstreet,NYCPARKS
11,1999-06-01 08:00:00+08:00,19,,Greenstreet,NYCPARKS
11,1999-06-01 08:00:00+08:00,19,,Greenstreet,NYCPARKS
14,2000-06-01 08:00:00+08:00,29,,Greenstreet,NYCPARKS
14,1999-12-01 08:00:00+08:00,27,,Greenstreet,NYCPARKS
18,2009-06-01 08:00:00+08:00,41,,Greenstreet,NYCPARKS
16,1997-06-01 08:00:00+08:00,25,,Greenstreet,NYCPARKS
16,2009-02-24 08:00:00+08:00,24,,Greenstreet,NYCPARKS
16,2000-06-01 08:00:00+08:00,20,,Greenstreet,NYCPARKS
17,2010-01-11 08:00:00+08:00,45,,Greenstreet,NYCPARKS
17,2010-01-11 08:00:00+08:00,45,,Greenstreet,NYCPARKS
27,2006-12-01 08:00:00+08:00,3,,Greenstreet,NYCPARKS
15,2000-12-01 08:00:00+08:00,32,,Greenstreet,NYCPARKS
13,1997-12-01 08:00:00+08:00,26,,Greenstreet,NYCPARKS
13,1999-12-01 08:00:00+08:00,26,,Greenstreet,NYCPARKS
13,1999-06-01 08:00:00+08:00,21,,Greenstreet,NYCPARKS
13,2001-06-01 08:00:00+08:00,21,,Greenstreet,NYCPARKS
34,2010-01-11 08:00:00+08:00,13,,Greenstreet,NYCPARKS
34,2010-01-11 08:00:00+08:00,13,,Greenstreet,NYCPARKS
