sector,fiscal_qtr,date_worked,category,count,avg_value,total_value,max_value
B-S10.12,2023Q4,2023-04-22 00:00:00,Short Shift,1,0.57,0.57,0.57
R-S3,2023Q4,2023-04-18 00:00:00,Short Shift,1,0.25,0.25,0.25
X-S7.8,2023Q4,2023-04-20 00:00:00,Short Shift,2,0.33,0.66,0.33
Q-S11.13,2023Q4,2023-04-10 00:00:00,Short Shift,2,0.23,0.46,0.23
B-S6.7,2023Q4,2023-04-17 00:00:00,Medium Shift,1,2.13,2.13,2.13
R-S1,2023Q4,2023-04-18 00:00:00,Short Shift,1,0.33,0.33,0.33
Q-S3.4,2023Q4,2023-04-18 00:00:00,Medium Shift,1,2.83,2.83,2.83
M-S3,2023Q4,2023-04-13 00:00:00,Short Shift,1,1.5,1.5,1.5
B-S17.18,2023Q4,2023-04-17 00:00:00,Long Shift,1,4.25,4.25,4.25
Q-S10.12,2024Q2,2023-11-06 00:00:00,Short Shift,1,0.25,0.25,0.25
M-S10.11,2023Q4,2023-04-16 00:00:00,Short Shift,1,0.08,0.08,0.08
M-S1.2,2023Q4,2023-04-19 00:00:00,Short Shift,1,1.33,1.33,1.33
X-S1.2,2023Q4,2023-04-16 00:00:00,Short Shift,12,0.09999999999999999,1.2,0.1
Q-S1.2,2023Q4,2023-04-16 00:00:00,Long Shift,2,5.75,11.5,5.75
B-S6.7,2023Q4,2023-04-18 00:00:00,Short Shift,1,0.83,0.83,0.83
X-S3.6,2023Q4,2023-04-22 00:00:00,Short Shift,4,0.82,3.28,0.82
X-S7.8,2023Q4,2023-04-17 00:00:00,Short Shift,1,0.25,0.25,0.25
B-S8.9,2023Q4,2023-04-16 00:00:00,Short Shift,1,0.12,0.12,0.12
M-S7.9,2023Q4,2023-04-19 00:00:00,Short Shift,1,1.58,1.58,1.58
Q-S5A.16,2023Q4,2023-04-19 00:00:00,Short Shift,1,0.42,0.42,0.42
X-S3.6,2023Q4,2023-04-19 00:00:00,Short Shift,4,0.08,0.32,0.08
X-S9.10,2023Q4,2023-04-13 00:00:00,Short Shift,1,0.3,0.3,0.3
M-S7.9,2023Q4,2023-04-21 00:00:00,Short Shift,1,0.83,0.83,0.83
Q-S10.12,2023Q4,2023-04-20 00:00:00,Short Shift,2,0.075,0.15,0.12
X-S3.6,2023Q4,2023-04-17 00:00:00,Short Shift,4,0.83,3.32,0.83
B-S1,2023Q4,2023-04-21 00:00:00,Short Shift,1,0.05,0.05,0.05
Q-S7,2023Q4,2023-04-18 00:00:00,Short Shift,2,0.165,0.33,0.25
Q-S1.2,2023Q4,2023-04-22 00:00:00,Short Shift,1,0.07,0.07,0.07
X-S4.5,2023Q4,2023-04-19 00:00:00,Short Shift,8,0.35999999999999993,2.8799999999999994,0.36
X-S9.10,2023Q4,2023-04-18 00:00:00,Short Shift,1,0.38,0.38,0.38
M-S10.11,2023Q4,2023-04-17 00:00:00,Short Shift,2,0.13,0.26,0.13
M-S12.12A,2023Q4,2023-04-21 00:00:00,Short Shift,1,1.0,1.0,1.0
X-S4.5,2023Q4,2023-04-16 00:00:00,Medium Shift,4,2.25,9.0,2.25
X-S1.2,2023Q4,2023-04-14 00:00:00,Medium Shift,4,2.5,10.0,2.5
B-S6.7,2023Q4,2023-04-21 00:00:00,Short Shift,1,1.7,1.7,1.7
Q-S1.2,2023Q4,2023-04-18 00:00:00,Short Shift,1,0.48,0.48,0.48
X-S3.6,2023Q4,2023-04-13 00:00:00,Long Shift,3,7.5,22.5,7.5
B-S6.7,2023Q4,2023-04-19 00:00:00,Short Shift,2,0.29,0.58,0.5
B-S11.15,2023Q4,2023-04-16 00:00:00,Short Shift,1,0.12,0.12,0.12
B-S6.7,2023Q4,2023-04-16 00:00:00,Short Shift,1,0.33,0.33,0.33
B-S6.7,2023Q4,2023-04-18 00:00:00,Medium Shift,1,2.2,2.2,2.2
Q-S5.6,2023Q4,2023-04-15 00:00:00,Long Shift,1,8.5,8.5,8.5
X-S13,2023Q4,2023-04-19 00:00:00,Short Shift,2,0.42,0.84,0.42
B-S17.18,2023Q4,2023-04-14 00:00:00,Long Shift,1,4.25,4.25,4.25
X-S4.5,2023Q4,2023-04-17 00:00:00,Short Shift,4,0.64,2.56,0.64
Q-S1.2,2023Q4,2023-04-19 00:00:00,Short Shift,2,0.105,0.21,0.18
