engroupa,schools,avgofprop_n,nypd_site_name,avgofmajor_n,school_year,nocrim_n,rank,dense_rank
6C,1,1.39,IS 008Q,0.57,2016 - 17,0.0,5,2
9C,1,2.55,THURGOOD MARSHALL ACADEMY,0.9,2016 - 17,4.0,2,1
9C,5,2.55,PAL AUXILARY SERVICES,0.9,2016 - 17,20.0,2,1
7C,1,1.72,PS 102K,0.64,2016 - 17,4.0,4,1
10C,6,3.63,The Cinema School,1.69,2016 - 17,50.0,1,1
