ntaname,type,ntacode,total,count,average
Old Town-Dongan Hills-South Beach,Limited Free,SI36,150.0,3,50.0
Park Slope-Gowanus,Free,BK37,78.0,2,39.0
North Side-South Side,Free,BK73,68.0,2,34.0
Morningside Heights,Free,MN09,27.0,4,6.75
East Harlem North,Free,MN34,25.0,3,8.333333333333334
Upper West Side,Free,MN12,19.0,3,6.333333333333333
Central Harlem South,Free,MN11,18.0,2,9.0
Midtown-Midtown South,Free,MN17,12.0,3,4.0
Upper East Side-Carnegie Hill,Free,MN40,12.0,3,4.0
Clinton,Free,MN15,6.0,2,3.0
Hudson Yards-Chelsea-Flatiron-Union Square,Free,MN13,6.0,2,3.0
Murray Hill-Kips Bay,Free,MN20,4.0,2,2.0
SoHo-TriBeCa-Civic Center-Little Italy,Free,MN24,2.0,2,1.0
