bin,control_no,t3_control_no,house_no,t4_bin,t6_house_no,category,count,avg_value,total_value,max_value
3396505,918595,918595,162,3396505,162,high_penalty,1,24000.0,24000.0,24000.0
1059716,806826,806826,556,1059716,556,high_penalty,1,39950.0,39950.0,39950.0
1030378,903595,903595,228,1030378,228,low_penalty,1,0.0,0.0,0.0
1090180,917408,917408,217,1090180,217,high_penalty,1,21000.0,21000.0,21000.0
3326947,709737,709737,109,3326947,109,low_penalty,1,0.0,0.0,0.0
3002548,809148,809148,186,3002548,186,medium_penalty,1,9250.0,9250.0,9250.0
1090180,917408,917408,217,1090180,217,low_penalty,1,0.0,0.0,0.0
1053397,906155,906155,3,1053397,3,high_penalty,1,62500.0,62500.0,62500.0
1016287,802365,802365,44,1016287,44,medium_penalty,1,7250.0,7250.0,7250.0
1013553,901536,901536,330,1013553,330,medium_penalty,1,12750.0,12750.0,12750.0
2092911,808368,808368,1435,2092911,1435,low_penalty,1,0.0,0.0,0.0
3396505,918595,918595,162,3396505,162,low_penalty,1,3000.0,3000.0,3000.0
2002852,913996,913996,1240,2002852,1240,medium_penalty,1,15000.0,15000.0,15000.0
1079356,806361,806361,840,1079356,840,low_penalty,1,3000.0,3000.0,3000.0
4536854,814345,814345,137-07,4536854,137-07,medium_penalty,1,17000.0,17000.0,17000.0
4430798,810603,810603,3-10,4430798,3-10,low_penalty,1,0.0,0.0,0.0
1023750,903127,903127,919,1023750,919,low_penalty,1,4000.0,4000.0,4000.0
1090448,914907,914907,303,1090448,303,low_penalty,1,1000.0,1000.0,1000.0
1083461,806053,806053,210,1083461,210,low_penalty,1,0.0,0.0,0.0
3154983,814253,814253,20,3154983,20,medium_penalty,1,11000.0,11000.0,11000.0
2051297,808654,808654,2515,2051297,2515,high_penalty,1,26500.0,26500.0,26500.0
1033133,903894,903894,2350,1033133,2350,medium_penalty,1,8000.0,8000.0,8000.0
2091966,807710,807710,735,2091966,735,low_penalty,4,0.0,0.0,0.0
3342263,809661,809661,160,3342263,160,low_penalty,1,5000.0,5000.0,5000.0
1043215,805131,805131,120,1043215,120,high_penalty,2,47500.0,95000.0,50000.0
3001482,909067,909067,122,3001482,122,medium_penalty,1,17000.0,17000.0,17000.0
1087637,703475,703475,411,1087637,411,high_penalty,1,50500.0,50500.0,50500.0
4533965,814311,814311,136-16,4533965,136-16,high_penalty,1,112000.0,112000.0,112000.0
2084073,908880,908880,3299,2084073,3299,medium_penalty,1,9000.0,9000.0,9000.0
1015200,901895,901895,108,1015200,108,high_penalty,1,33350.0,33350.0,33350.0
1017588,802530,802530,270,1017588,270,low_penalty,1,5000.0,5000.0,5000.0
1031763,803784,803784,117,1031763,117,high_penalty,1,28000.0,28000.0,28000.0
2015481,808096,808096,3980,2015481,3980,medium_penalty,2,16000.0,32000.0,16000.0
3338423,809632,809632,29,3338423,29,medium_penalty,1,12000.0,12000.0,12000.0
2015403,908087,908087,2835,2015403,2835,high_penalty,1,24600.0,24600.0,24600.0
1090668,913422,913422,155,1090668,155,medium_penalty,2,6625.0,13250.0,7250.0
3342263,809661,809661,160,3342263,160,medium_penalty,1,18000.0,18000.0,18000.0
1087657,814133,814133,18,1087657,18,high_penalty,1,20750.0,20750.0,20750.0
3324228,810020,810020,207,3324228,207,high_penalty,1,34750.0,34750.0,34750.0
1087266,913694,913694,225,1087266,225,medium_penalty,1,9000.0,9000.0,9000.0
1015200,901895,901895,108,1015200,108,medium_penalty,1,6250.0,6250.0,6250.0
1081701,803319,803319,400,1081701,400,low_penalty,1,4500.0,4500.0,4500.0
1081701,803319,803319,400,1081701,400,high_penalty,1,90900.0,90900.0,90900.0
2114693,813925,813925,950,2114693,950,medium_penalty,1,14500.0,14500.0,14500.0
2003060,807611,807611,1105,2003060,1105,low_penalty,1,4650.0,4650.0,4650.0
2002852,913996,913996,1240,2002852,1240,low_penalty,1,1750.0,1750.0,1750.0
1048574,805723,805723,222,1048574,222,medium_penalty,1,11250.0,11250.0,11250.0
2057437,916870,916870,3764,2057437,3764,high_penalty,1,27000.0,27000.0,27000.0
2013018,707988,707988,780,2013018,780,high_penalty,1,51500.0,51500.0,51500.0
1088885,701504,701504,355,1088885,355,low_penalty,2,3750.0,7500.0,3750.0
2015581,908104,908104,2857,2015581,2857,medium_penalty,1,12000.0,12000.0,12000.0
4301620,911776,911776,1925,4301620,1925,high_penalty,1,23000.0,23000.0,23000.0
1045287,905305,905305,406,1045287,406,medium_penalty,1,6000.0,6000.0,6000.0
1024811,903183,903183,1648,1024811,1648,medium_penalty,1,10250.0,10250.0,10250.0
1039990,904726,904726,322,1039990,322,low_penalty,1,0.0,0.0,0.0
1081126,804125,804125,59,1081126,59,high_penalty,1,26000.0,26000.0,26000.0
