property_name,address_1,category,count,avg_value,total_value,max_value
85 Broad Street,85 Broad Street,Low water intensity,1,19.59,19.59,19.59
1701 W 3rd Street LLC,1701 W 3rd Street,Low water intensity,1,47.98,47.98,47.98
210 Amsterdam Avenue - 40508,210 Amsterdam Avenue,Low water intensity,1,77.87,77.87,77.87
525 BUILDING CO.,525 Seventh Avenue,Low water intensity,1,22.35,22.35,22.35
134,134 Ocean Parkway,Low water intensity,4,0.83,3.32,0.83
34-24 Hunters Point Avenue,34-24 Hunters Point Avenue,Low water intensity,1,4.22,4.22,4.22
"2753 Realty, LLC",2753 Ocean Avenue,Low water intensity,2,68.91,137.82,68.91
Sovereign - 425 East 58th Street,425 East 58th Street,Low water intensity,1,51.65,51.65,51.65
116 West Houston,116 West Houston St.,Low water intensity,1,37.59,37.59,37.59
LITTLE 40 WORTH ASSOC.,40 Worth Street,Low water intensity,1,23.36,23.36,23.36
Episcopal Church Center,815 Second Avenue,Low water intensity,1,21.09,21.09,21.09
NH Forest Hills,102-01 66th Road,Low water intensity,1,0.0,0.0,0.0
777 East 31 Street - 40240,777 East 31 St,Low water intensity,1,97.0,97.0,97.0
Center for Automotive Education and Training,15-30 Petracca Place,Low water intensity,1,19.74,19.74,19.74
2355/57 Prospect Ave.,2357 Prospect Ave.,Low water intensity,1,78.05,78.05,78.05
Brooklyn Excelsior Charter School,856 Quincy Street,Low water intensity,1,8.01,8.01,8.01
380 BROADWAY LLC,380 BROADWAY,Low water intensity,1,20.84,20.84,20.84
ESRT - 250 West 57th Street,250 West 57th Street,Low water intensity,2,12.07,24.14,12.07
Georgia Ave.,975 Georgia Ave.,Low water intensity,1,2.11,2.11,2.11
43-01 22nd Street Owners LLC,43-01 22nd street,Low water intensity,2,9.62,19.24,9.62
The Jefferson Condominium,211 E 13th St,Low water intensity,1,29.37,29.37,29.37
Melohn Foundation,105 West 55 St.,Medium water intensity,1,135.24,135.24,135.24
1530-1532 Townsend,1530-1532 Townsend Ave,Low water intensity,1,57.11,57.11,57.11
ESRT - One Grand Central Place,60 East 42nd Street,Low water intensity,3,13.800000000000002,41.400000000000006,13.8
1710 Cortelyou Road - 40241,380 EAST 18 ST,Low water intensity,1,90.95,90.95,90.95
West Chelsea Building LLC,508-516 West 26th Street,Low water intensity,1,14.71,14.71,14.71
1864 corp.,1864 85 st.,Low water intensity,2,79.21,158.42,79.21
Weiss Realty - 2446 University Avenue,2446 University Avenue,Low water intensity,1,89.66,89.66,89.66
Rolex Realty Company Inc,665 Fifth Ave,Low water intensity,1,36.16,36.16,36.16
Olnick - ROC Fifth Avenue Associates LLC,130 Fifth Avenue,Low water intensity,1,13.01,13.01,13.01
8801 Shore RD BG Corp,8801 Shore Road,Low water intensity,1,22.36,22.36,22.36
AMDA - Stratford Arms Hotel,117 West 70th St,Medium water intensity,1,107.85,107.85,107.85
Staples,24-41 31st St,Low water intensity,1,5.04,5.04,5.04
28 Second Ave,28 Second Ave,Low water intensity,1,1.13,1.13,1.13
40 West 37th,40 West 37th Street,Low water intensity,2,6.92,13.84,6.92
Alini Enterprises Inc.,95 West 162nd Street,Low water intensity,1,89.74,89.74,89.74
1402 Broadway ENT,1410 Broadway,Low water intensity,1,12.0,12.0,12.0
Wendi Realty LLC,51-01 Grand Ave,Low water intensity,6,10.21,61.260000000000005,10.21
600 Burke Ave,600 Burke Ave,Low water intensity,2,80.18,160.36,80.18
