site,t5_site,bin,t7_bin,council_filled,senate_filled,count,total
950 Allerton Ave,950 Allerton Ave,2051712.0,2051712.0,13.0,33.0,1,13.0
City Harvest,City Harvest,3337255.0,3337255.0,38.0,26.0,1,38.0
University Heights Educational c/o BCS,University Heights Educational c/o BCS,3418261.0,3418261.0,33.0,59.0,1,33.0
Designer Optical of Pelham,Designer Optical of Pelham,2049397.0,2049397.0,13.0,33.0,1,13.0
Calvary's Mission,Calvary's Mission,4194447.0,4194447.0,29.0,15.0,1,29.0
25 Mcguinness Blvd,25 Mcguinness Blvd,3066846.0,3066846.0,33.0,59.0,1,33.0
Staten Island Animal Care Center,Staten Island Animal Care Center,5155332.0,5155332.0,51.0,24.0,1,51.0
181 Lexington Ave,181 Lexington Ave,3056359.0,3056359.0,36.0,25.0,1,36.0
Applebee's Grill + Bar,Applebee's Grill + Bar,5170012.0,5170012.0,51.0,24.0,2,102.0
Soho Thrift Shop,Soho Thrift Shop,1007944.0,1007944.0,1.0,27.0,1,1.0
569 Wilson Ave,569 Wilson Ave,3079058.0,3079058.0,37.0,18.0,1,37.0
126-06 15 Ave,126-06 15 Ave,4437977.0,4437977.0,19.0,11.0,3,57.0
33-34 21 St,33-34 21 St,4005788.0,4005788.0,22.0,59.0,1,22.0
St. Ann's of Morrisania,St. Ann's of Morrisania,2000081.0,2000081.0,8.0,29.0,1,8.0
2275-2375 Richmond Ave,2275-2375 Richmond Ave,5107371.0,5107371.0,51.0,24.0,1,51.0
Black Spring Books,Black Spring Books,3062466.0,3062466.0,34.0,59.0,2,68.0
Unity Plaza Community Center,Unity Plaza Community Center,3336125.0,3336125.0,42.0,19.0,1,42.0
Apple Bank,Apple Bank,2049390.0,2049390.0,13.0,33.0,1,13.0
West Village Thrift Shop,West Village Thrift Shop,1011183.0,1011183.0,3.0,27.0,1,3.0
1513 Forest Ave,1513 Forest Ave,5110056.0,5110056.0,49.0,23.0,1,49.0
Hope Gardens Multi-Service Senior Center,Hope Gardens Multi-Service Senior Center,3076116.0,3076116.0,37.0,18.0,1,37.0
African International Collaborative Center,African International Collaborative Center,2057701.0,2057701.0,12.0,36.0,1,12.0
Brooklyn Community Pride Center,Brooklyn Community Pride Center,3329709.0,3329709.0,36.0,25.0,1,36.0
265 Nagle Ave,265 Nagle Ave,1064706.0,1064706.0,10.0,31.0,1,10.0
183-14 Hillside Ave,183-14 Hillside Ave,4212730.0,4212730.0,23.0,11.0,1,23.0
30-05 Whitestone Expy,30-05 Whitestone Expy,4100748.0,4100748.0,20.0,16.0,1,20.0
India Home Inc,India Home Inc,4534092.0,4534092.0,24.0,11.0,1,24.0
74-39 Jamaica Ave,74-39 Jamaica Ave,4180778.0,4180778.0,32.0,15.0,1,32.0
Women's Facility,Women's Facility,3031601.0,3031601.0,36.0,20.0,1,36.0
Los Redimidos en la Sangre de Cristo,Los Redimidos en la Sangre de Cristo,2012068.0,2012068.0,15.0,33.0,1,15.0
495 E 180 St,495 E 180 St,2011507.0,2011507.0,15.0,32.0,1,15.0
Love Covenant Church,Love Covenant Church,4283794.0,4283794.0,31.0,14.0,1,31.0
