latitude,longitude,phone,categoriesaccepted,hours,categoriesavailable,rank,dense_rank
40.713407,-73.784358,(917) 288-7600,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",1,1
40.648279,-74.018842,(646) 412-0758,"Food/Beverage, Baby Care","Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",Baby Care,1,1
40.715165,-73.990268,(646) 858-0042,,,Clothing/Personal Accessories,2,1
40.66659,-73.744995,(347) 973-9655,Clothing/Personal Accessories,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",Clothing/Personal Accessories,1,1
40.638725,-73.923712,(718) 763-5318,,,Food/Beverage,1,1
40.59447,-74.078593,(718) 808-1840,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,2,2
40.59447,-74.078593,(718) 808-1840,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,2,2
40.59447,-74.078593,(718) 808-1840,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,2,2
40.852108,-73.88949,(646) 408-3909,Food/Beverage,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",Food/Beverage,1,2
40.724709,-73.996391,(646) 786-1200,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",1,1
