project_id,total_project_units,neighborhood_tabulation_area,prevailing_wage_status
76431,36,BK1702,Non Prevailing Wage
65412,12,BK0502,Non Prevailing Wage
77143,68,QN0103,Non Prevailing Wage
74296,48,MN1002,Non Prevailing Wage
75421,1524,SI0107,Non Prevailing Wage
72943,111,BX0502,Non Prevailing Wage
77145,63,QN0105,Non Prevailing Wage
76408,8,BX0402,Non Prevailing Wage
76321,26,QN1401,Non Prevailing Wage
76728,73,BK0202,Non Prevailing Wage
77170,56,MN1001,Non Prevailing Wage
77034,75,BX0401,Non Prevailing Wage
77028,42,BX0502,Non Prevailing Wage
76710,50,BK0502,Non Prevailing Wage
77185,34,QN0201,Non Prevailing Wage
74483,179,BX0302,Non Prevailing Wage
75173,2952,BX1202,Non Prevailing Wage
76302,25,BX1203,Non Prevailing Wage
76341,240,QN0201,Non Prevailing Wage
73316,16,BX0401,Non Prevailing Wage
74974,219,MN0302,Non Prevailing Wage
47863,64,BX0101,Non Prevailing Wage
76097,98,BX0403,Non Prevailing Wage
77134,9,BK1703,Non Prevailing Wage
55080,8,BK0402,Non Prevailing Wage
74488,58,MN0703,Non Prevailing Wage
76413,44,BX0702,Non Prevailing Wage
74737,276,BX0303,Non Prevailing Wage
76333,24,BX0904,Non Prevailing Wage
75729,36,BK0702,Non Prevailing Wage
71989,17,BK0402,Non Prevailing Wage
