dbn,t2_dbn,fax_number,phone_number,t4_fax_number,t5_phone_number,pct_stu_safe,grade9geapplicants10,attendance_rate,rank,dense_rank
13K594,13K594,718-574-3971,718-455-0746,718-574-3971,718-455-0746,0.76,,0.78,1,1
19K502,19K502,718-922-0593,718-688-7930,718-922-0593,718-688-7930,0.77,,0.8,1,1
03M402,03M402,212-787-1455,212-787-1189,212-787-1455,212-787-1189,0.92,,0.84,1,1
08X530,08X530,718-860-1934,718-860-1242,718-860-1934,718-860-1242,0.88,,0.8,1,1
23K514,23K514,718-922-2761,718-485-3789,718-922-2761,718-485-3789,0.85,,0.82,1,1
06M423,06M423,212-569-1190,212-569-1022,212-569-1190,212-569-1022,0.97,,0.68,1,1
12X521,12X521,718-860-8232,718-860-8240,718-860-8232,718-860-8240,0.77,,0.79,1,1
13K605,13K605,718-596-9434,718-625-6130,718-596-9434,718-625-6130,0.79,,0.88,1,1
29Q326,29Q326,718-736-7325,718-736-7320,718-736-7325,718-736-7320,0.87,,0.86,1,1
02M489,02M489,212-346-0712,212-346-0708,212-346-0712,212-346-0708,0.83,,0.88,1,1
02M519,02M519,212-737-2863,212-737-1530,212-737-2863,212-737-1530,0.91,,0.93,1,1
21K690,21K690,718-266-5093,718-266-5032,718-266-5093,718-266-5032,0.79,,0.87,1,1
28Q690,28Q690,718-977-4802,718-977-4800,718-977-4802,718-977-4800,0.64,,0.89,1,1
14K449,14K449,718-381-3012,718-366-0154,718-381-3012,718-366-0154,0.89,,0.93,1,1
14K449,14K449,718-381-3012,718-366-0154,718-381-3012,718-366-0154,0.89,,0.95,1,2
14K449,14K449,718-381-3012,718-366-0154,718-381-3012,718-366-0154,0.89,,0.96,1,3
14K449,14K449,718-381-3012,718-366-0154,718-381-3012,718-366-0154,0.89,,0.97,1,4
14K449,14K449,718-381-3012,718-366-0154,718-381-3012,718-366-0154,0.89,,0.97,1,4
02M437,02M437,212-488-3335,212-488-3330,212-488-3335,212-488-3330,0.83,,0.79,1,1
14K488,14K488,718-486-2505,718-486-2550,718-486-2505,718-486-2550,0.8,,0.86,1,1
25Q670,25Q670,718-969-5524,718-969-5510,718-969-5524,718-969-5510,0.82,,0.9,1,1
28Q325,28Q325,718-658-1613,718-658-1249,718-658-1613,718-658-1249,0.92,,0.85,1,1
28Q686,28Q686,718-286-3601,718-286-3600,718-286-3601,718-286-3600,0.92,,0.92,1,1
19K615,19K615,718-647-4458,718-647-5204,718-647-4458,718-647-5204,0.77,,0.84,1,1
30Q258,30Q258,718-472-0490,718-472-0536,718-472-0490,718-472-0536,0.85,,0.94,1,1
