queens_cooperatives_comparable_properties_boro_block_lot,postcode,nta,queens_cooperatives_comparable_properties_market_value_per_sqft,category,count,avg_value,total_value,max_value
4-02874-0002,11373.0,Rego Park                                                                  ,55.0,medium income per sqft,1,14.0,14.0,14.0
4-11434-0007,11414.0,Lindenwood-Howard Beach                                                    ,41.7,medium income per sqft,1,11.82,11.82,11.82
4-03154-0001,11374.0,Forest Hills                                                               ,63.0,medium income per sqft,1,15.4,15.4,15.4
4-09265-0001,11415.0,Kew Gardens                                                                ,38.8,medium income per sqft,1,11.0,11.0,11.0
4-00131-0004,11377.0,Hunters Point-Sunnyside-West Maspeth                                       ,65.0,medium income per sqft,1,16.0,16.0,16.0
4-00579-0042,11106.0,Astoria                                                                    ,47.5,medium income per sqft,1,12.64,12.64,12.64
4-02152-0106,11375.0,Forest Hills                                                               ,66.0,medium income per sqft,1,16.2,16.2,16.2
4-01727-0008,11368.0,North Corona                                                               ,50.0,medium income per sqft,1,13.3,13.3,13.3
4-05025-0020,11354.0,Murray Hill                                                                ,51.0,medium income per sqft,1,13.5,13.5,13.5
4-02864-0017,11373.0,Elmhurst                                                                   ,47.3,medium income per sqft,1,12.6,12.6,12.6
4-01946-0001,11368.0,Corona                                                                     ,48.0,medium income per sqft,1,12.75,12.75,12.75
4-08762-0001,11040.0,Glen Oaks-Floral Park-New Hyde Park                                        ,42.4,medium income per sqft,1,12.0,12.0,12.0
4-16230-0044,11694.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,56.0,medium income per sqft,1,14.04,14.04,14.04
4-05002-0087,11354.0,Flushing                                                                   ,39.1,medium income per sqft,1,11.1,11.1,11.1
4-05302-0117,11358.0,Murray Hill                                                                ,49.2,medium income per sqft,1,13.08,13.08,13.08
4-05878-0003,11360.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,medium income per sqft,1,14.57,14.57,14.57
4-08178-0008,11362.0,Douglas Manor-Douglaston-Little Neck                                       ,41.4,medium income per sqft,1,11.75,11.75,11.75
4-11466-0025,11414.0,Lindenwood-Howard Beach                                                    ,23.62,low income per sqft,1,7.7,7.7,7.7
4-09665-0001,11435.0,Briarwood-Jamaica Hills                                                    ,54.0,medium income per sqft,1,13.7,13.7,13.7
4-02266-0100,11375.0,Forest Hills                                                               ,48.8,medium income per sqft,1,13.0,13.0,13.0
4-02225-0019,11375.0,Forest Hills                                                               ,62.0,medium income per sqft,1,15.25,15.25,15.25
4-02236-0043,11375.0,Forest Hills                                                               ,57.0,medium income per sqft,1,14.5,14.5,14.5
4-09824-0043,11432.0,Jamaica                                                                    ,41.6,medium income per sqft,1,11.8,11.8,11.8
4-05146-0027,11355.0,Flushing                                                                   ,48.3,medium income per sqft,1,12.85,12.85,12.85
4-03291-0001,11375.0,Forest Hills                                                               ,56.0,medium income per sqft,1,14.1,14.1,14.1
4-01451-0032,11372.0,Jackson Heights                                                            ,38.7,medium income per sqft,1,11.0,11.0,11.0
4-08353-0001,11362.0,Douglas Manor-Douglaston-Little Neck                                       ,42.3,medium income per sqft,1,12.0,12.0,12.0
4-02874-0055,11373.0,Rego Park                                                                  ,56.0,medium income per sqft,1,14.0,14.0,14.0
4-05122-0046,11355.0,Flushing                                                                   ,46.6,medium income per sqft,1,12.4,12.4,12.4
4-05863-0060,11360.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,medium income per sqft,1,14.52,14.52,14.52
4-00175-0001,11377.0,Hunters Point-Sunnyside-West Maspeth                                       ,60.0,medium income per sqft,1,15.0,15.0,15.0
4-04602-0119,11357.0,Whitestone                                                                 ,40.5,medium income per sqft,1,11.5,11.5,11.5
