nextstep,installationdate,groupowner,segmentstatus,bctsnum,closeddate,rank,dense_rank
,2016-03-23 00:00:00,Manhattan BC,True,17369,2016-04-06 09:14:00,1,1
Pending installation queue,,Queens BC,True,DOT-620881-X3Q4,,1,2
Pending installation queue,,Queens BC,True,DOT-656751-T4W0,,1,2
,,Brooklyn BC,False,DOT-257912-Z8Z3,2016-06-29 17:55:00,1,1
,,Queens BC,False,322147-L0J1,2019-10-25 17:16:00,1,2
,,Brooklyn BC,False,DOT-623940-G0S7,2023-11-28 14:19:00,1,3
,,SI BC,False,DOT-624162-X9S0,2024-06-21 10:50:00,1,4
,,Brooklyn BC,False,DOT-625932-X5S8,2024-06-21 10:58:00,1,5
,,Brooklyn BC,False,DOT-587110-D2K8,2024-06-25 15:14:00,1,6
,,SI BC,False,DOT-649453-K3V8,2024-06-25 15:18:00,1,7
,,Queens BC,False,DOT-649859-B4N5,2024-06-25 15:20:00,1,8
,,Queens BC,False,DOT-649660-X6X9,2024-06-27 13:41:00,1,9
,,Queens BC,False,DOT-649637-W9T8,2024-06-27 13:47:00,1,10
,,Brooklyn BC,False,DOT-650736-R1K2,2024-06-27 13:54:00,1,11
,,Brooklyn BC,False,DOT-650736-R1K2,2024-06-27 13:54:00,1,11
,,Queens BC,False,DOT-646732-W5S8,2024-07-01 12:54:00,1,12
,,Queens BC,False,DOT-650471-V8C0,2024-07-01 12:58:00,1,13
,,Queens BC,False,DOT-651721-Q9L3,2024-07-01 13:02:00,1,14
,,SI BC,False,DOT-652108-W9N0,2024-07-01 13:03:00,1,15
,,Queens BC,False,DOT-651749-N1B6,2024-07-01 13:06:00,1,16
,,Queens BC,False,DOT-631307-T6X8,2024-07-02 13:00:00,1,17
,,SI BC,False,DOT-635468-K7T8,2024-07-02 13:05:00,1,18
,,Queens BC,False,DOT-628800-D4Y6,2024-07-03 13:03:00,1,19
,,Bronx BC,False,DOT-653927-S8P0,2024-07-03 13:18:00,1,20
,,Bronx BC,False,DOT-654249-N3R8,2024-07-10 12:21:00,1,21
,,Queens BC,False,DOT-665157-G4N9,2024-09-25 13:47:00,1,22
,,Brooklyn BC,False,DOT-665077-Z8X6,2024-09-25 13:47:00,1,22
,,SI BC,False,DOT-538033-C6B1,2024-09-30 13:20:00,1,23
,,Queens BC,False,DOT-648604-G9H8,2024-09-30 13:27:00,1,24
,,Queens BC,False,DOT-659718-Q4P5,2024-09-30 13:28:00,1,25
,,Queens BC,False,DOT-665715-P4Q7,2024-09-30 13:30:00,1,26
,,Queens BC,False,DOT-501893-F6H3,2024-10-08 15:02:00,1,27
,,SI BC,False,DOT-667526-C1W2,2024-10-09 12:19:00,1,28
,,Brooklyn BC,False,DOT-667122-J4P8,2024-10-09 12:22:00,1,29
,,Queens BC,False,DOT-666835-G5Z1,2024-10-09 12:24:00,1,30
,,Queens BC,False,DOT-666700-B6G3,2024-10-09 12:24:00,1,30
,,Queens BC,False,DOT-666835-G5Z1,2024-10-09 12:24:00,1,30
,,Queens BC,False,DOT-666407-N1F8,2024-10-09 12:25:00,1,31
,,Queens BC,False,DOT-666403-F5C3,2024-10-09 12:27:00,1,32
,,Queens BC,False,DOT-611622-B8S6,2024-11-21 12:51:00,1,33
,,SI BC,False,DOT-524776-Q5G3,2024-11-21 12:57:00,1,34
,,SI BC,False,DOT-675605-G8Y2,2024-11-27 14:21:00,1,35
,,SI BC,False,DOT-527550-V3S5,2024-11-27 15:20:00,1,36
,,Queens BC,False,DOT-673794-S4L2,2024-12-04 12:56:00,1,37
,,Brooklyn BC,False,DOT-673858-M1R1,2024-12-04 12:57:00,1,38
,,Brooklyn BC,False,DOT-674253-V4G0,2024-12-04 13:00:00,1,39
,,SI BC,False,DOT-674828-J0H4,2024-12-04 13:04:00,1,40
,,Queens BC,False,06-1907,,1,41
,,Queens BC,,DOT-611997-Q8S7,2024-06-24 14:30:00,1,1
,,Brooklyn BC,,DOT-600409-S9X0,2024-09-24 08:36:00,1,2
,,SI BC,,DOT-666293-G8F1,2024-10-02 10:41:00,1,3
