fullpermitno,applicationdate,t3_fullpermitno,t5_applicationdate,loadweight,totalgrossweight,loadlength,loadheight,endcity
DTYG-202347-14628,2023-04-07 01:11:02+08:00,DTYG-202347-14628,2023-04-07 01:11:02+08:00,7000,35000,48.0,1.0,
E56Q-2023126-36397,2023-12-05 23:25:51+08:00,E56Q-2023126-36397,2023-12-05 23:25:51+08:00,12000,35000,53.0,2.0,
TG9X-202331-9129,2023-03-01 02:03:23+08:00,TG9X-202331-9129,2023-03-01 02:03:23+08:00,18250,36500,53.0,5.0,
VTMI-2023518-19927,2023-05-18 00:35:24+08:00,VTMI-2023518-19927,2023-05-18 00:35:24+08:00,158399,158400,57.07,13.01,MANHATTAN
H2XS-2023428-17638,2023-04-28 00:13:58+08:00,H2XS-2023428-17638,2023-04-28 00:13:58+08:00,79000,119000,48.0,8.0,THE BRONX
SW1M-2023316-11502,2023-03-15 22:33:39+08:00,SW1M-2023316-11502,2023-03-15 22:33:39+08:00,30000,58000,48.0,4.0,
UAQ4-2023119-2323,2023-01-17 23:59:04+08:00,UAQ4-2023119-2323,2023-01-17 23:59:04+08:00,39000,79000,53.0,13.0,BROOKLYN
PN4J-2023922-30114,2023-09-22 00:35:15+08:00,PN4J-2023922-30114,2023-09-22 00:35:15+08:00,64000,117950,40.0,10.0,MANHATTAN
KEUA-2023913-29281,2023-09-12 21:52:51+08:00,KEUA-2023913-29281,2023-09-12 21:52:51+08:00,64000,110800,55.0,4.09,MANHATTAN
FZZ3-2023315-11314,2023-03-15 02:26:02+08:00,FZZ3-2023315-11314,2023-03-15 02:26:02+08:00,40000,78000,60.0,6.0,BROOKLYN
YI5V-20231117-35022,2023-11-16 22:35:49+08:00,YI5V-20231117-35022,2023-11-16 22:35:49+08:00,38300,74500,55.0,4.02,
E6PC-2023410-14796,2023-04-06 23:21:32+08:00,E6PC-2023410-14796,2023-04-06 23:21:32+08:00,20000,50000,50.0,2.0,
J3SK-2023929-30747,2023-09-29 19:26:09+08:00,J3SK-2023929-30747,2023-09-29 19:26:09+08:00,95880,164380,73.0,3.0,MANHATTAN
TEN7-202351-17825,2023-04-28 23:01:31+08:00,TEN7-202351-17825,2023-04-28 23:01:31+08:00,2000,49000,53.0,2.0,
WN4W-2023511-19012,2023-04-25 00:48:25+08:00,WN4W-2023511-19012,2023-04-25 00:48:25+08:00,47000,65100,48.0,13.04,New York
YY6Z-2023124-3254,2023-01-24 21:23:31+08:00,YY6Z-2023124-3254,2023-01-24 21:23:31+08:00,60000,75000,53.0,13.06,MANHATTAN
D47Q-2023320-11995,2023-03-20 20:14:36+08:00,D47Q-2023320-11995,2023-03-20 20:14:36+08:00,24940,53080,53.0,13.06,Brooklyn
I1CU-202323-5111,2023-02-03 03:26:53+08:00,I1CU-202323-5111,2023-02-03 03:26:53+08:00,21000,41000,53.0,3.0,
LJEN-202352-18003,2023-04-29 01:35:32+08:00,LJEN-202352-18003,2023-04-29 01:35:32+08:00,54925,98566,32.05,10.05,
