alphabetic_name_long,alphabetic_name_long,type,school_type2,program_highlights,se_services,total_programs
Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,School,,"College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
High School for Media and Communications,High School for Media and Communications,School,,"Visual Arts Program, Creative Writing/Theater Arts Program, Honors-level courses in English, Global History, and United States History; Journalism/School Newspaper, Student Leadership Program, Freshman Advisory Program, National Honor Society, Writing for College, Introduction to Film, Achieve Now Academy Program, Student Government, College Now Program at The City College of New York",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,School,,"Individualized College, Academic and Career Planning; Advisory, Focus on developing strong writing skills",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,School,CTE School,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",This school will provide students with disabilities the supports and services indicated on their IEPs.,6
Academy of Innovative Technology,Academy of Innovative Technology,School,CTE School,"Application Programming & Game Design: A three-year sequence in learning the newest technology in gaming design; Courses in Java, Graphic design, C ++ and Objective-C (computer languages that are more widely used in iPhone platforms and game design programming); A three-year sequence in web designing: Web Design (Dreamweaver, Front Page, Photoshop). Students take Dreamweaver application, web page design, web page authoring and other supporting technologies and at the end of the sequence. Students can earn Adobe certifications in Flash and Dreamweaver Microsoft Office Specialists (MOS).",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Harry S Truman High School,Harry S Truman High School,School,,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",This school will provide students with disabilities the supports and services indicated on their IEPs.,7
"Young Women's Leadership School, Queens, The","Young Women's Leadership School, Queens, The",School,All-Girls School,"CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College,School,,"The focus in grades 9 and 10 (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the 10th grade students become eligible to apply for college courses. During their senior year, students can apply to remain a 5th year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students are required to enroll in college classes. All students who are enrolled in college classes receive extra support through daily seminar classes.",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Energy Tech High School,Energy Tech High School,School,"CTE, New School","Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,School,,"Expeditionary Learning: in-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,School,,"Students may receive CTE endorsement in the following areas: Architectural Drafting & Architectural CAD/CADD. As part of our studio and portfolio requirements, students are challenged to build working prototypes of their designs. This course of study has made our students highly desirable for paid internship positions at industry partners. Students are also given opportunities to engage in the ACE mentoring, SkillsUSA and College Now programs.",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
New Utrecht High School,New Utrecht High School,School,,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",This school will provide students with disabilities the supports and services indicated on their IEPs.,8
Mott Hall High School,Mott Hall High School,School,,"Online grading system for parents and students, Before- and -after school tutoring, Saturday Academy, Tutoring with City College, College Now, College for Every Student (CFES), College Prep with Columbia University, Regents Prep Program, iZone, Advanced Placement courses, Credit Recovery Electives",This school will provide students with disabilities the supports and services indicated on their IEPs.,1
