school_year,location_name,location_code,schools,record_count,total_amount,avg_amount,max_amount,min_amount
2016 - 17,P.S. 014 Fairview,Q014,1,1,1.39,1.39,1.39,1.39
2016 - 17,P.S. 158 Bayard Taylor,M158,2,2,1.26,0.63,0.63,0.63
2016 - 17,34 WEST 118 STREET,M149,1,1,0.63,0.63,0.63,0.63
2016 - 17,"New Explorations into Science, Technology and Math",M539,1,1,0.75,0.75,0.75,0.75
2016 - 17,430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,2,2,1.26,0.63,0.63,0.63
2016 - 17,P.S. 373 - Brooklyn Transition Center,K373,2,1,,,,
2016 - 17,P.S. 194 Countee Cullen,M194,3,1,,,,
2016 - 17,P.S. 084 Lillian Weber,M084,2,8,3.92,0.98,0.98,0.98
2016 - 17,Professional Performing Arts High School,M408,2,4,,,,
2016 - 17,P.S. 284 Lew Wallace,K284,1,1,0.98,0.98,0.98,0.98
2016 - 17,P.S. 212 Midtown West,M212,1,4,2.04,0.51,0.51,0.51
2016 - 17,P.S./I.S. 104 The Fort Hamilton School,K104,1,1,1.72,1.72,1.72,1.72
2016 - 17,333 EAST 151 STREET CONSOLIDATED LOCATION,X600,4,1,,,,
2016 - 17,Midwood High School,K405,5,1,2.55,2.55,2.55,2.55
2016 - 17,P.S. 243K- The Weeksville School,K243,1,1,0.51,0.51,0.51,0.51
2016 - 17,P.S. 234 Independence School,M234,3,1,,,,
2016 - 17,In-Tech Academy (M.S. / High School 368),X368,3,1,,,,
2016 - 17,325 SOUTH  3 STREET CONSOLIDATED LOCATION,K414,1,1,0.75,0.75,0.75,0.75
2016 - 17,Satellite East Middle School,K301,1,1,0.63,0.63,0.63,0.63
2016 - 17,P.S. 21 Margaret Emery-Elm Park,R021,1,1,0.75,0.75,0.75,0.75
2016 - 17,P.S. 041 Francis White,K041,1,1,0.63,0.63,0.63,0.63
2016 - 17,P.S. 031 Samuel F. Dupont,K031,1,1,0.75,0.75,0.75,0.75
2016 - 17,P.S. 176 Cambria Heights,Q176,1,1,0.98,0.98,0.98,0.98
2016 - 17,108-35 167 STREET CONSOLIDATED LOCATION,Q008,1,1,2.55,2.55,2.55,2.55
2016 - 17,Brooklyn Brownstone School,K628,2,1,,,,
2016 - 17,105 TECH PLACE CONSOLIDATED LOCATION,K580,2,4,,,,
2016 - 17,1700 FULTON STREET CONSOLIDATED LOCATION,K455,3,2,,,,
2016 - 17,P.S. M079 - Horan School,M079,1,1,0.75,0.75,0.75,0.75
2016 - 17,"City Polytechnic High School of Engineering, Archi",K674,2,4,,,,
2016 - 17,P.S. 147 Isaac Remsen,K147,1,3,2.25,0.75,0.75,0.75
2016 - 17,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,1,1,0.63,0.63,0.63,0.63
2016 - 17,Bronx Community High School,X377,8,1,,,,
2016 - 17,EXCELLENCE GIRLS CHARTER SCHOOL(BN),K712,2,1,,,,
2016 - 17,J.H.S. 078 Roy H. Mann,K078,2,2,,,,
2016 - 17,Benjamin Banneker Academy,K670,1,1,0.75,0.75,0.75,0.75
2016 - 17,P.S. 179 Kensington,K179,1,1,0.63,0.63,0.63,0.63
2016 - 17,P.S. 042 Benjamin Altman,M042,1,1,0.75,0.75,0.75,0.75
2016 - 17,Belmont Preparatory High School,X434,6,1,3.63,3.63,3.63,3.63
2016 - 17,New Visions Charter High School for Advanced Math,K738,4,4,,,,
2016 - 17,P.S. M094,M094,1,3,2.25,0.75,0.75,0.75
2016 - 17,999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,5,2,,,,
2016 - 17,The Mott Hall School,M223,3,1,,,,
2016 - 17,Brooklyn Academy High School,K553,3,2,1.96,0.98,0.98,0.98
2016 - 17,P.S. 452,M452,3,2,,,,
2016 - 17,I.S. 285 Meyer Levin,K285,1,1,0.63,0.63,0.63,0.63
2016 - 17,32 WEST  92 STREET CONSOLIDATED LOCATION,M084,2,8,3.92,0.98,0.98,0.98
2016 - 17,4200 16 AVENUE CONSOLIDATED LOCATION,K223,2,3,,,,
2016 - 17,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,2,1,,,,
2016 - 17,P.S. 195 Manhattan Beach,K195,1,1,0.75,0.75,0.75,0.75
2016 - 17,Professional Pathways High School,K630,4,4,,,,
