intempname,intcity,amnt,committee,candfirst,schedule,rank,dense_rank
,,500.0,P,Bill,ABC,4,13
,,500.0,P,Bill,ABC,4,13
,,500.0,P,Josh,ABC,4,13
,,500.0,P,Josh,ABC,4,13
,,500.0,P,Bill,ABC,4,13
,,500.0,P,Josh,ABC,4,13
,,500.0,P,Bill,ABC,4,13
,,500.0,P,Josh,ABC,4,13
,,500.0,P,Bill,ABC,4,13
,,1000.0,H,Paul,ABC,4,14
,,1000.0,H,Paul,ABC,4,14
Cushman & Wakefield Inc.,New York,1000.0,H,Paul,ABC,4,14
,,1000.0,P,Bill,ABC,1,14
,,1000.0,P,Bill,ABC,1,14
,,1000.0,P,Bill,ABC,1,14
,,4950.0,H,Nicole,ABC,1,15
,,4950.0,H,Nicole,ABC,1,15
Cushman & Wakefield Inc.,New York,4950.0,H,Nicole,ABC,1,15
