fact_column,total_dimension1,average_dimension2
37-42 30TH STREET,,
CLAREMONT PARK APARTMENTS.YR15.FY25,4.0,1.0
UPS. 1806 ANTHONY AVE,,1.0
1305 SHAKESPEARE AVENUE,,
NEW PENN DEVELOPMENT,,
JERICHO HOUSE,,
22-25 NEW HAVEN AVENUE APARTMENTS,,
21-07 ASTORIA BLVD APARTMENTS,,
TIMPSON PLACE HDFC.GHPP.FY25,,
MORNINGSIDE HEIGHTS III. HPO.FY25,4.0,
2040 MCGRAW AVE APARTMENTS,,
THE TRIO APARTMENTS,,
FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),,
130 EAST 165TH STREET APARTMENTS,,
B&R.YR15.FY25,,
153 EAST 51 STREET,,
SALEM HOUSE.YR15.FY25,1.0,1.0
EASTCHESTER HEIGHTS HDFC.HPO.FY25,480.0,
131 CONCORD STREET APARTMENTS,,
GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,,
1644 NEW YORK AVENUE,,
2769 CRESTON AVENUE,,
23-10 42ND ROAD APARTMENTS,,
CROTONA PARK WEST HDFC.HPO.FY24,,
MASARYK TOWERS.HRP.FY25,,
633 EAST 230 STREET,,
NORTH SHORE PLAZA.YR15.FY25,288.0,
180 PENNSYLVANIA AVE APARTMENTS,,
WEST FARMS.HUDMF.FY25,14.0,
256 MT HOPE PLACE_HPS,,
SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8.0,
