house_num,reporting_year,si_req_debris_insects,meet_standards,tank_num,gi_result_internal_structure,rank,dense_rank
130,2017,Y,Y,1,N,1,1
166,2017,Y,Y,1,N,1,1
86,2022,Y,Y,1,N,4,1
130,2019,Y,Y,1,N,3,1
103,2016,Y,Y,1,N,2,1
7,2018,Y,Y,1,N,1,1
35,2020,Y,Y,1,N,3,1
86,2020,Y,Y,1,N,3,1
166,2020,Y,Y,1,N,3,1
99,2020,Y,Y,1,N,3,1
99,2020,Y,Y,1,N,3,1
99,2020,Y,Y,1,N,3,1
35,2020,Y,Y,1,N,3,1
264,2017,Y,,1,N,1,1
390,2021,Y,,1,N,4,1
264,2017,Y,,1,N,1,1
390,2022,Y,,2,N,1,1
390,2022,Y,,2,N,1,1
390,2022,Y,,2,N,1,1
12,2022,Y,,1,N,4,1
12,2022,Y,,1,N,4,1
444,2022,Y,,1,N,4,1
38,2022,Y,,1,N,4,1
12,2022,Y,,1,N,4,1
1435,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
444,2022,Y,,1,N,4,1
90,2022,Y,,1,N,4,1
1435,2022,Y,,1,N,4,1
545,2017,Y,,1,N,1,1
240,2022,Y,,1,N,4,1
240,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
390,2022,Y,,1,N,4,1
630,2015,Y,,3,N,1,1
641,2015,Y,,1,N,2,1
80,2015,Y,,1,N,2,1
120,2015,Y,,1,N,2,1
230,2023,Y,,1,N,3,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
525,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
101,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
120,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
120,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
120,2015,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
525,2015,Y,,1,N,2,1
196,2023,Y,,2,N,1,1
196,2023,Y,,2,N,1,1
230,2023,Y,,1,N,3,1
230,2023,Y,,1,N,3,1
2550,2025,Y,,1,N,1,1
230,2023,Y,,1,N,3,1
171,2023,Y,,1,N,3,1
230,2023,Y,,1,N,3,1
166,2023,Y,,1,N,3,1
230,2023,Y,,1,N,3,1
230,2023,Y,,1,N,3,1
230,2023,Y,,1,N,3,1
595,2025,Y,,1,N,1,1
595,2025,Y,,1,N,1,1
67,2025,Y,,1,N,1,1
67,2025,Y,,1,N,1,1
67,2025,Y,,1,N,1,1
595,2025,Y,,1,N,1,1
67,2025,Y,,1,N,1,1
689,2025,Y,,1,N,1,1
240,2022,Y,,1,N,4,1
345,2019,Y,,2,N,1,1
345,2019,Y,,2,N,1,1
2930,2019,Y,,1,N,3,1
80,2019,Y,,1,N,3,1
390,2021,Y,,2,N,1,1
390,2021,Y,,2,N,1,1
390,2021,Y,,2,N,1,1
32,2021,Y,,1,N,4,1
390,2021,Y,,1,N,4,1
199,2021,Y,,1,N,4,1
390,2021,Y,,1,N,4,1
390,2021,Y,,1,N,4,1
600,2021,Y,,1,N,4,1
600,2021,Y,,1,N,4,1
18,2016,Y,,1,N,2,1
390,2021,Y,,1,N,4,1
390,2021,Y,,1,N,4,1
484,2024,Y,,3,N,1,1
506,2024,Y,,2,N,2,1
875,2024,Y,,2,N,2,1
875,2024,Y,,2,N,2,1
875,2024,Y,,2,N,2,1
875,2024,Y,,2,N,2,1
6,2018,Y,,1,N,1,1
130,2018,Y,,1,N,1,1
350,2020,Y,,7,N,1,1
350,2020,Y,,7,N,1,1
3,2020,Y,,1,N,3,1
2,2016,Y,,2,N,1,1
18,2016,Y,,1,N,2,1
87-30,2016,Y,,1,N,2,1
311,2016,Y,,1,N,2,1
641,2015,Y,,1,N,2,1
