city_council_district,total_units,boiler_installation_date,boiler_model,of_res_units,of_floors,owner_telephone
4,106,1993,FEDERAL EASTMOND (NEW) ESP-200,106,14,
4,85,1993,ROCKMILLS MP 125,10,14,212-586-7895
4,31,1985,ROCKMILLS MP-80,31,10,212-865-8600
1,200,2002,ROCKMILLS MP-400,198,27,212 210-6617
1,200,2002,ROCKMILLS MP-400,198,27,212 210-6666
1,68,1972,TITUSVILLE UNKNOWN,0,12,
1,33,1979,ROCKMILLS MP-4-162,25,6,212-529-5688
1,24,1979,ROCKMILLS MP 100,0,6,212-966-5097
14,67,1985,PACIFIC 8671,67,6,718-258-0373
3,229,1977,ROCKMILLS #MP-175,224,20,212-603-1300
3,133,1978,ROCKMILLS MP 4-133,130,14,212-674-6123
3,114,1997,FEDERAL FST 200,0,25,212-679-5500
3,100,1973,CROTTY #C5M-175,0,8,212 683-4444
3,76,1980,FEDERAL FST-250,0,16,212-947-3050
6,376,1976,ROCKMILLS MP 300,376,21,212-340-9300
6,37,1970,YORK SHIPLEY #WBL-90,37,10,212-865-5858
6,22,1988,ROCKMILLS MP 60,22,6,212 268-0494
6,7,2007,ROCKMILLS MP - 300 (R-H BOILER) (EXSTG),0,14,212 354-7808
10,72,1986,ROCKMILLS MP-150,72,6,212 594 8870
10,30,1990,FEDERAL EASTMOND FST 50,30,5,0
2,235,2006,BEST 5C - 200 (NEW),229,14,212 986-0001
2,31,1994,EASTMOND ESP-200,0,17,XXX
2,27,1988,FEDERAL FST 125,26,12,212-529-5688
2,9,1990,ROCKMILLS MP-100,2,8,212-947-2223
