program_code,program_count,school_phone,program_phone,percent_students_feel_safe,program_description,attendance_rate
M79A,0,212-346-0708,212-346-0708,0.83,,0.88
Y55A,0,718-860-8240,718-860-8240,0.77,,0.79
Q61A,0,718-472-0536,718-472-0536,0.85,,0.94
K07X,0,718-486-2550,718-486-2550,0.8,,0.86
NO CODE,0,718-366-0154,718-366-0154,0.89,,0.97
K90H,0,718-266-5032,718-266-5032,0.79,,0.87
A24A,0,212-569-1022,212-569-1022,0.97,,0.68
K70C,0,718-625-6130,718-625-6130,0.79,,0.88
M42J,0,212-737-1530,212-737-1530,0.91,,0.93
Q46A,0,718-658-1249,718-658-1249,0.92,,0.85
NO CODE,0,718-366-0154,718-366-0154,0.89,,0.93
A18A,0,212-488-3330,212-488-3330,0.83,,0.79
Q39Z,0,718-286-3600,718-286-3600,0.92,,0.92
Q70A,0,718-969-5510,718-969-5510,0.82,,0.9
NO CODE,0,718-366-0154,718-366-0154,0.89,,0.96
NO CODE,0,718-366-0154,718-366-0154,0.89,,0.95
K62X,0,718-688-7930,718-688-7930,0.77,,0.8
A13A,0,212-787-1189,212-787-1189,0.92,,0.84
K80X,0,718-485-3789,718-485-3789,0.85,,0.82
K69B,1,718-647-5204,718-647-5204,0.77,,0.84
Q44A,0,718-736-7320,718-736-7320,0.87,,0.86
L35A,0,718-455-0746,718-455-0746,0.76,,0.78
Q21A,0,718-977-4800,718-977-4800,0.64,,0.89
X94A,0,718-860-1242,718-860-1242,0.88,,0.8
