property_name,borough,energy_star_certification,address_1,source_energy_use_adjusted,electricity_use_grid_purchase_2
X130-0200173,BRONX,Not Available,750 Prospect Avenue,8539598.8,1168268.8
X081-0200120,BRONX,Not Available,5550 Riverdale Avenue,8400827,1468661.3
X100-0200142,BRONX,Not Available,800 Taylor Avenue,7336907.3,1234461.6
X415-0200213,BRONX,Not Available,925 Astor Avenue,35239666.2,5407337.6
X137-0200181,BRONX,Not Available,22-25 Webster Avenue,27696163.1,7476374.4
K288-0300287,BROOKLYN,Not Available,2950 West 25th Street,9763027.9,1428945.6
K106-0300116,BROOKLYN,Not Available,1328 Putnam Avenue,9049610.8,1375309
K909-0301382,BROOKLYN,Not Available,561 Grand Avenue,7764778.3,2344044
K370-0300110,BROOKLYN,Not Available,3000 West 1st Street,7333868.1,1639807.2
K505-0300354,BROOKLYN,Not Available,5800 20th Avenue,25598635.1,4388906.8
M146-0100129,MANHATTAN,Not Available,421 East 106th Street,7583820.5,1489269.8
Metlife Building,MANHATTAN,Not Available,200 Park Ave,717160696.8,161546087.4
866 UN Plaza,MANHATTAN,2013,866 UN Plaza,58980097.7,17436845.2
345 Park Ave LP,MANHATTAN,Not Available,345 Park Ave,523223906.1,118384833.3
19 East 57th Street,MANHATTAN,Not Available,19E 57th Street,26933249.5,7965587
R039-0500062,STATEN IS,Not Available,71 Sand Lane,6370043.6,1136878.4
Q136-0400122,QUEENS,Not Available,201-15 115th Avenue,6739232.8,864737.3
Q430-0400230,QUEENS,Not Available,58-20 Utopia Parkway,35370264.9,7693172.9
Q226-0400249,QUEENS,Not Available,121-10 Rockaway Boulevard,25764943.3,5477117.4
Q499-0401536,QUEENS,Not Available,148-20 Reeves Avenue,19026803.4,5022464
Q176-0400158,QUEENS,Not Available,120-45 235th Street,17279846.4,4043902.4
