to_floor,work_description,item_detail,total,count,average
,Panels,'',67080.0,584,114.86301369863014
,Service Switches,'1-100 amps',16770.0,146,114.86301369863014
,Service Switches,'2@30A',16770.0,146,114.86301369863014
,Service Switches,'3@10 1@8',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'3 #2 awg',16770.0,146,114.86301369863014
,Panels,"'2@20AMP, 1@15AMP'",16770.0,146,114.86301369863014
,Panels,'8/16',16770.0,146,114.86301369863014
,Service Switches,'',16770.0,146,114.86301369863014
,Panels,'1 - 20 circ.',16770.0,146,114.86301369863014
,Panels,'42 circuit breaker panels',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'3-#6 & 1-#8G',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'3#2',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,"'3x#6,3x#10,2x2x#10'",16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'#3AWG',16770.0,146,114.86301369863014
,Service Switches,'30 amps for fire alarm',16770.0,146,114.86301369863014
,Service Switches,'1 X 2400A',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,"'36sets2/0, 3sets3/0, 4 sets4/0'",16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,"'1 #6 SER , 1 #6 FED'",16770.0,146,114.86301369863014
,Service Switches,'4/000',16770.0,146,114.86301369863014
,Panels,'60 CKT',16770.0,146,114.86301369863014
,Panels,'24 pole 125A',16770.0,146,114.86301369863014
,Boiler Controls,'St Johnson',16770.0,146,114.86301369863014
,Panels,'24-circuit',16770.0,146,114.86301369863014
,Service Switches,'45 amps',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,"'3x#6,3x3x#10'",16770.0,146,114.86301369863014
,Panels,'30 circuits',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'1 SET OF 3/O',16770.0,146,114.86301369863014
,Service Entrance and Feeder Conductors. List Each Set,'4/3 riser',16770.0,146,114.86301369863014
,Panels,"'(1) 200A, (3) 100A'",16770.0,146,114.86301369863014
,Service Switches,'100 amp',16770.0,146,114.86301369863014
14.0,Floor Descriptions,'',3742.0,4,935.5
,Floor Descriptions,'',223.0,8,27.875
1.0,Floor Descriptions,'',198.75,3,66.25
3.0,Floor Descriptions,'',121.0,2,60.5
6.0,Floor Descriptions,'',36.5,1,36.5
2.0,Floor Descriptions,'',36.0,2,18.0
20.0,Floor Descriptions,'',14.0,2,7.0
7.0,Floor Descriptions,'',11.75,1,11.75
