dbn,total_attendance_rate,school_name,start_time
29Q259,0.910000026,Pathways College Preparatory School: A College Board School,8:10am
24Q520,0.930000007,Middle College High School at LaGuardia Community College,8am
31R047,0.949999988,CSI High School for International Studies,7:30am
02M308,0.899999976,Lower Manhattan Arts Academy,8:30am
12X521,0.790000021,The Metropolitan Soundview High School,8:30am
03M417,0.939999998,Frank McCourt High School,8:30am
28Q505,0.899999976,Hillcrest High School,8am
19K683,0.839999974,"The School for Classics: An Academy of Thinkers, Writers and Performers",8am
17K531,0.910000026,The School for Human Rights,8am
24Q296,0.899999976,Pan American International High School,8:20am
10X353,0.899999976,World View High School,8:50am
07X221,0.899999976,South Bronx Preparatory: A College Board School,8am
05M369,0.810000002,Urban Assembly School for the Performing Arts,8:15am
24Q560,0.910000026,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",8:30am
10X565,0.860000014,High School for Energy and Technology,8am
12X248,0.829999983,"Metropolitan High School, The",8am
31R605,1.940000058,Staten Island Technical High School,7:45am
02M260,0.970000029,"Clinton School Writers & Artists, M.S. 260",
26Q415,0.930000007,Benjamin N. Cardozo High School,9am
02M605,0.850000024,Humanities Preparatory Academy,9am
10X546,0.810000002,Bronx Theatre High School,8:20am
09X276,0.75,Leadership Institute,8:05am
