t1_printedschoolname,t3_printedschoolname,t4_code_prog1,t5_code_prog1,geseats_prog4,activities,coursepassrate,ellprograms
East Side Middle School,East Side Middle School,M114M,M114M,.,"Students may work with a teacher to develop and teach their own elective or extracurricular activity. Some classes that have been offered in the past are knitting, computer game design, Braille, American Sign language, film-making, whiffle ball, cooking, fashion design, the history of comic film, and Zumba.",100.0,English as a New Language
Professional Performing Arts School,Professional Performing Arts School,M408M,M408M,.,"Free After-School Program in partnership with Manhattan Youth, including classes in STEM, Visual Arts, Physical Activity, and Sports.",100.0,English as a New Language
J.H.S. 190 Russell Sage,J.H.S. 190 Russell Sage,Q190U,Q190U,.,Computer Club; Computers; Debate Team; Geometry Prep; Honors Program; Math Team; NJHS; Science Olympia; SHSAT Prep; Student Council; Yearbook Club,96.0,"English as a New Language, Transitional Bilingual Education: Spanish"
M.S. 224 Manhattan East School for Arts & Academics,M.S. 224 Manhattan East School for Arts & Academics,M224M,M224M,.,"Flag Football, Soccer, and Basketball through Asphalt Green; Global Kids After-School Program; Nature’s Classroom; Queens College Honor Band; Rooftop Gardening with the NY Horticultural Society",89.0,English as a New Language
Richard S. Grossley (J.H.S. 8),Richard S. Grossley (J.H.S. 8),Q008U,Q008U,.,"Achieve 3000; ARISTA/NJHS; Band; Chorus; Dance; Drumline; English as a New Language After-School/Saturday Programs; Field Trips: High Schools, Colleges, Washington, DC; Flocabulary; Girls Empowered and Motivated for Success; Junior Deans Program; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation; Project BOOST; Student Government; Substance Abuse Prevention and Intervention; Young Men’s Initiative",90.0,English as a New Language
Urban Assembly Academy for Future Leaders,Urban Assembly Academy for Future Leaders,M286L,M286L,.,Advisory; Cartooning and Fashion Design; Chess; Dance; Drama; Engineering and Business; Fine Arts: Sketching; Music Theory; Performing Arts; Photography; Production; Robotics; Sculpting; Step; Video Game Animation,77.0,English as a New Language
Wadleigh Secondary School for the Performing & Visual Arts,Wadleigh Secondary School for the Performing & Visual Arts,M415S,M415S,.,"21st Century Leadership; Advisory; Band & Percussion; Basketball; Chess Club; College For Every Student (CFES); Community Service Learning; Culinary Arts; Dance Workshop; Extended Learning Time; Fun STEM (Science, Technology, Engineering, and Math) Club; Glee Club; Musical Theater; Peer Mentoring; Pep Rally; Robotics Club; Student Government; Track and Field",86.0,English as a New Language
West Bronx Academy for the Future,West Bronx Academy for the Future,X243L,X243L,,Arts; Cheerleading; Dance; Drama; Girls Talk; Project-Based Learning; Technology Program: Mobile Computer Labs; Voices and Choices; Writing Matters,90.0,English as a New Language
Mott Hall III,Mott Hall III,X128S,X128S,,After-School Enrichment Academy; Drama; Future City Competition; MH3 Chess Team; MH3 Chorus; MH3 Dance Team; MH3 Rock Stars; Photography; Prep 9; Specialized High School Prep; Student Government; TEAK; The Oliver Program; Trips to Colleges and Universities in the Tri-State Area,94.0,English as a New Language
Columbia Secondary School,Columbia Secondary School,M362M,M362M,.,"Biking; Board Games Club; Creative Writing; Extended Day Program (Academic, Arts, and Sports Electives); Fashion Design; Field Trips; Knitting; Music Band; Neuroscience; Newspaper; Robotics; Student Government; Theater Performances; Tinker’s Workshop; Visual Arts",95.0,English as a New Language
