owner,building_count,city_council_district,borough_block_lot,borough_block_lot
MARTIN BAUMRIND,1,3,1010750044,1010750044
OUR LADY OF POMPEI R.C.CH,1,3,1005860020,1005860020
"CHELSEA 25, LLC",1,3,1007750017,1007750017
BROCROS REALTY,1,1,1005110016,1005110016
"MOCAL ENTERPRISES, INC.",1,3,1008310064,1008310064
201 W. 21ST STREET TENANTS CORP.,1,3,1007710038,1007710038
"110 W.40 JOINT VEN%ADAMS & CO.,LLC",1,3,1008150039,1008150039
REAL ESTATE INDUSTRIAL INC,1,3,1010770043,1010770043
WG 27th STREET LLC C/O THE WITKOFF GROUP,1,3,1008290016,1008290016
GVA WILLIAMS REAL ESTATE CO.,1,3,1008010014,1008010014
MIRANDA REALTY ASSOC.,1,3,1007790049,1007790049
DEZER PROPERTIES,1,3,1008220015,1008220015
12 E. 12TH STREET CORP. /ANDAEWS,1,2,1005697501,1005697501
T.U.C. MGMT. CO. INC.TIM O'KEEFE,1,4,1008910062,1008910062
130 WEST 57 STREET CO.LLC,1,4,1010090046,1010090046
HOLD BOUNCED CHECK,1,1,1001450012,1001450012
1 HUDSON PK INC/ANDREW BL. CORP.,1,1,1001440001,1001440001
PR 30 LLC,1,3,1007540028,1007540028
29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,1,3,1008380024,1008380024
CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,1,6,1011380001,1011380001
WASSERSTEIN BROS.,1,3,1007600055,1007600055
119 FIFTH AVE. CORP.,1,2,1008480001,1008480001
EXTELL DEVELOPMENT COMPANY,1,1,1001710001,1001710001
JOSE TUR,1,10,1021570081,1021570081
RANDAL HSE. OWNERS %AKAM ASSOC.,1,2,1005617501,1005617501
CHURCH MANAGEMENT,1,3,1008687502,1008687502
BUCHBINDER & WARREN,1,3,1007977502,1007977502
WEINREB MANAGEMENT LLC,1,6,1011620141,1011620141
77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,1,4,1008947501,1008947501
162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,1,3,1008230037,1008230037
PARISH OF TRINITY CHURCH,1,3,1002270063,1002270063
227 TENANTS/SANDBERG MGT.CORP.,1,6,1011960035,1011960035
ROOSEVELT LEE 38 LLC,1,3,1008330018,1008330018
ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,2,1,1005500022,1005500022
CHAS.ST.ASSOC/MARTIN MGMT,1,3,1006110045,1006110045
WEST 63 EMPIRE ASSOCIATES LLC,1,6,1011150057,1011150057
16 E. 40 REALTY LLC C/O QUARTZ RLTY.,1,3,1008690064,1008690064
RUDD RLTY MGMT.CORP/MARK McCONNELL,1,3,1007750060,1007750060
ELO EQUITIES LLC,1,3,1009990009,1009990009
MURRAY HILL OWNERS CO.,1,3,1008910023,1008910023
CONCOURSE MGMT/BLDG MGMT INC.,1,3,1010180061,1010180061
55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,1,3,1008930002,1008930002
"CITY UNIVERSITY OF NY,ATT:H.N.APSAN",1,3,1010500006,1010500006
ABS PARTNERS REAL ESTATE LLC.,1,3,1007870025,1007870025
"LEIST, FRED",1,14,2028070070,2028070070
"YOUNG,CARL S.",1,10,1022020033,1022020033
Manchester West 36 LLC-ATT: FARAJ SROUR,1,3,1007860013,1007860013
THREE O REALTY LLC,1,3,1010127501,1010127501
"EBM DEVELOPMENT CO.,LTD.",1,3,1010120032,1010120032
470P.A.ASSOC/S.L.GREEN MG,1,2,1008610044,1008610044
