fact_group,total_dimension1,average_dimension2
3C,8.0,0.63
5C,12.0,0.9800000000000003
4C,2.0,0.75
,,
2C,0.0,0.51
10C,12.0,3.63
6C,0.0,1.39
9C,1.0,2.55
7C,0.0,1.72
