queens_cooperatives_comparable_properties_neighborhood,queens_cooperatives_comparable_properties_building_classification,queens_cooperatives_comparable_properties_year_built,total,count,average
FLUSHING-NORTH,D4-ELEVATOR,1962,25.9,2,12.95
FOREST HILLS,D4-ELEVATOR,1950,16.2,1,16.2
SUNNYSIDE,D4-ELEVATOR,1932,16.0,1,16.0
REGO PARK,D4-ELEVATOR,1962,15.4,1,15.4
FOREST HILLS,D4-ELEVATOR,1949,15.25,1,15.25
SUNNYSIDE,D4-ELEVATOR,1942,15.0,1,15.0
BAYSIDE,D4-ELEVATOR,1961,14.57,1,14.57
BAYSIDE,C6-WALK-UP,1957,14.52,1,14.52
FOREST HILLS,D4-ELEVATOR,1940,14.5,1,14.5
FOREST HILLS,D4-ELEVATOR,1930,14.1,1,14.1
ROCKAWAY PARK,D4-ELEVATOR,1963,14.04,1,14.04
MIDDLE VILLAGE,D4-ELEVATOR,1963,14.0,1,14.0
MIDDLE VILLAGE,D4-ELEVATOR,1964,14.0,1,14.0
BRIARWOOD,D4-ELEVATOR,1955,13.7,1,13.7
CORONA,D4-ELEVATOR,1953,13.3,1,13.3
FLUSHING-NORTH,C6-WALK-UP,1951,13.08,1,13.08
FOREST HILLS,D4-ELEVATOR,1960,13.0,1,13.0
FLUSHING-NORTH,D4-ELEVATOR,1966,12.85,1,12.85
CORONA,D4-ELEVATOR,1962,12.75,1,12.75
ASTORIA,D4-ELEVATOR,1971,12.64,1,12.64
ELMHURST,D4-ELEVATOR,1959,12.6,1,12.6
FLORAL PARK,C6-WALK-UP,1950,12.0,1,12.0
LITTLE NECK,C6-WALK-UP,1952,12.0,1,12.0
HOWARD BEACH,D4-ELEVATOR,1962,11.82,1,11.82
JAMAICA,D4-ELEVATOR,1962,11.8,1,11.8
DOUGLASTON,D4-ELEVATOR,1964,11.75,1,11.75
BEECHHURST,D4-ELEVATOR,1958,11.5,1,11.5
FLUSHING-NORTH,D4-ELEVATOR,1937,11.1,1,11.1
JACKSON HEIGHTS,D4-ELEVATOR,1956,11.0,1,11.0
KEW GARDENS,D4-ELEVATOR,1928,11.0,1,11.0
HOWARD BEACH,C6-WALK-UP,1958,7.7,1,7.7
