code_prog1,total_coursepassrate,printedschoolname,code_prog1
X593M,,MS 593,X593M
Q008U,90.0,Richard S. Grossley (J.H.S. 8),Q008U
Q072M,88.0,Catherine & Count Basie Middle School 72,Q072M
X128S,94.0,Mott Hall III,X128S
M057S,80.0,James Weldon Johnson,M057S
M362M,95.0,Columbia Secondary School,M362M
M114M,100.0,East Side Middle School,M114M
M311M,86.0,Amistad Dual Language School,M311M
M408M,100.0,Professional Performing Arts School,M408M
Q128Z,100.0,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Q128Z
Q194U,94.0,J.H.S. 194 William Carr,Q194U
X532U,87.0,Baychester Middle School,X532U
K898U,,M.S.898,K898U
M108U,85.0,School of Authors (P.S./M.S. 108 ),M108U
M054M,99.0,J.H.S. 054 Booker T. Washington,M054M
M286L,77.0,Urban Assembly Academy for Future Leaders,M286L
X243L,90.0,West Bronx Academy for the Future,X243L
M415S,86.0,Wadleigh Secondary School for the Performing & Visual Arts,M415S
Q190U,96.0,J.H.S. 190 Russell Sage,Q190U
Q281U,95.0,East-West School of International Studies,Q281U
X211U,86.0,P.S. 211,X211U
M224M,89.0,M.S. 224 Manhattan East School for Arts & Academics,M224M
X331U,82.0,The Bronx School of Young Leaders,X331U
