gis_council_district,self_cert,work_type,permit_status,gis_nta_name,permit_subtype,category,count,avg_value,total_value,max_value
8.0,N,SP,ISSUED,East Harlem North,SP,high_license,1,1063.0,1063.0,1063.0
50.0,N,,ISSUED,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,very_high_license,1,610567.0,610567.0,610567.0
23.0,Y,OT,ISSUED,Queens Village,OT,very_high_license,1,622954.0,622954.0,622954.0
51.0,N,OT,ISSUED,Charleston-Richmond Valley-Tottenville,OT,very_high_license,1,608778.0,608778.0,608778.0
20.0,N,,ISSUED,East Flushing,,very_high_license,6,618159.0,3708954.0,618159.0
15.0,Y,EQ,ISSUED,Van Nest-Morris Park-Westchester Square,FN,very_high_license,2,38879.0,77758.0,38879.0
4.0,N,SD,ISSUED,Midtown-Midtown South,SD,standard_license,1,969.0,969.0,969.0
15.0,Y,OT,ISSUED,Van Nest-Morris Park-Westchester Square,FN,very_high_license,2,38879.0,77758.0,38879.0
24.0,,OT,ISSUED,Briarwood-Jamaica Hills,,standard_license,4,,,
23.0,,PL,ISSUED,Bellerose,,high_license,1,1875.0,1875.0,1875.0
19.0,Y,OT,ISSUED,Bayside-Bayside Hills,OT,very_high_license,1,615068.0,615068.0,615068.0
4.0,N,SP,ISSUED,Upper East Side-Carnegie Hill,SP,standard_license,1,299.0,299.0,299.0
24.0,,OT,ISSUED,Briarwood-Jamaica Hills,MH,standard_license,4,,,
3.0,N,PL,ISSUED,West Village,,high_license,1,1726.0,1726.0,1726.0
39.0,N,,ISSUED,Carroll Gardens-Columbia Street-Red Hook,,very_high_license,2,609222.0,1218444.0,616067.0
3.0,N,PL,ISSUED,Clinton,,high_license,1,2431.0,2431.0,2431.0
50.0,Y,OT,ISSUED,Westerleigh,OT,very_high_license,1,613329.0,613329.0,613329.0
49.0,Y,PL,ISSUED,West New Brighton-New Brighton-St. George,,high_license,1,2132.0,2132.0,2132.0
44.0,N,,ISSUED,Ocean Parkway South,,very_high_license,1,23644.0,23644.0,23644.0
4.0,N,SP,ISSUED,Midtown-Midtown South,SD,standard_license,1,969.0,969.0,969.0
26.0,,,ISSUED,Hunters Point-Sunnyside-West Maspeth,,very_high_license,6,25099.0,150594.0,25099.0
31.0,Y,OT,ISSUED,Hammels-Arverne-Edgemere,OT,very_high_license,1,27643.0,27643.0,27643.0
43.0,Y,,ISSUED,Bay Ridge,,very_high_license,1,623656.0,623656.0,623656.0
8.0,Y,SP,ISSUED,Mott Haven-Port Morris,SP,high_license,2,1008.0,2016.0,1008.0
19.0,Y,OT,ISSUED,Auburndale,OT,very_high_license,1,613329.0,613329.0,613329.0
36.0,N,OT,ISSUED,Bedford,OT,very_high_license,2,321894.0,643788.0,609188.0
6.0,N,MH,ISSUED,Lincoln Square,MH,very_high_license,9,618631.0,5567679.0,618631.0
51.0,Y,OT,ISSUED,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,OT,very_high_license,1,613329.0,613329.0,613329.0
43.0,Y,BL,ISSUED,Dyker Heights,BL,standard_license,1,297.0,297.0,297.0
13.0,Y,OT,ISSUED,Schuylerville-Throgs Neck-Edgewater Park,OT,very_high_license,1,615871.0,615871.0,615871.0
4.0,Y,PL,ISSUED,Midtown-Midtown South,,high_license,4,2431.0,9724.0,2431.0
51.0,Y,OT,ISSUED,Great Kills,OT,very_high_license,1,612391.0,612391.0,612391.0
15.0,Y,EQ,ISSUED,Van Nest-Morris Park-Westchester Square,OT,very_high_license,2,38879.0,77758.0,38879.0
14.0,N,OT,ISSUED,University Heights-Morris Heights,OT,very_high_license,2,605449.0,1210898.0,605449.0
46.0,Y,OT,ISSUED,Georgetown-Marine Park-Bergen Beach-Mill Basin,OT,very_high_license,1,613329.0,613329.0,613329.0
26.0,,,ISSUED,Hunters Point-Sunnyside-West Maspeth,FN,very_high_license,6,25099.0,150594.0,25099.0
17.0,N,PL,ISSUED,East Tremont,,high_license,1,1909.0,1909.0,1909.0
41.0,N,OT,ISSUED,Crown Heights North,OT,very_high_license,2,615482.0,1230964.0,615482.0
17.0,N,,ISSUED,East Tremont,,very_high_license,1,34377.0,34377.0,34377.0
36.0,N,MH,ISSUED,Bedford,OT,very_high_license,1,34600.0,34600.0,34600.0
13.0,Y,EQ,ISSUED,Pelham Parkway,OT,very_high_license,1,32874.0,32874.0,32874.0
15.0,Y,OT,ISSUED,Van Nest-Morris Park-Westchester Square,OT,very_high_license,2,38879.0,77758.0,38879.0
8.0,Y,SP,ISSUED,Mott Haven-Port Morris,SD,high_license,2,1008.0,2016.0,1008.0
8.0,Y,PL,ISSUED,Mott Haven-Port Morris,SP,standard_license,2,789.0,1578.0,789.0
1.0,N,OT,ISSUED,SoHo-TriBeCa-Civic Center-Little Italy,MH,high_license,2,3962.0,7924.0,3962.0
5.0,Y,SP,ISSUED,Yorkville,SP,standard_license,1,934.0,934.0,934.0
2.0,N,OT,ISSUED,East Village,OT,very_high_license,48,619269.0,29724912.0,619269.0
13.0,N,EQ,ISSUED,Pelham Bay-Country Club-City Island,FN,very_high_license,2,606972.0,1213944.0,606972.0
