city,total_dimension1,average_dimension2,longitude,latitude,population_taxonomy,longitude,latitude
new york,1585113.06,26.0,-74.014814,40.708356,,-74.014814,40.708356
staten island,,24.0,-74.102067,40.608511,,-74.102067,40.608511
bronx,,33.0,-73.908004,40.851063,,-73.908004,40.851063
brooklyn,,19.0,-73.874208,40.670723,,-73.874208,40.670723
new york,,26.0,-74.005591,40.715046,,-74.005591,40.715046
bronx,,34.0,-73.841824,40.846147,,-73.841824,40.846147
new york,,31.0,-73.927816,40.857445,,-73.927816,40.857445
brooklyn,,25.0,-73.950194,40.686273,,-73.950194,40.686273
long island city,,12.0,-73.925705,40.753432,,-73.925705,40.753432
brooklyn,,19.0,-73.913273,40.674102,,-73.913273,40.674102
new york,,26.0,-74.004314,40.70727,,-74.004314,40.70727
brooklyn,,21.0,-73.975542,40.648666,,-73.975542,40.648666
new york,,30.0,-73.944061,40.815449,,-73.944061,40.815449
brooklyn,,25.0,-73.971376,40.690765,,-73.971376,40.690765
brooklyn,,18.0,-73.913171,40.69737,,-73.913171,40.69737
brooklyn,,19.0,-73.89317,40.668072,,-73.89317,40.668072
far rockaway,,10.0,-73.77501,40.59571,,-73.77501,40.59571
ozone park,,15.0,-73.85688,40.683768,,-73.85688,40.683768
bronx,,33.0,-73.895978,40.855656,,-73.895978,40.855656
bronx,,32.0,-73.921024,40.826354,,-73.921024,40.826354
bronx,129400.0,36.0,-73.853672,40.892227,,-73.853672,40.892227
new york,,26.0,-73.982797,40.714054,,-73.982797,40.714054
new york,,26.0,-73.992767,40.714472,,-73.992767,40.714472
flushing,,11.0,-73.834194,40.75909,,-73.834194,40.75909
staten island,,23.0,-74.077908,40.645821,,-74.077908,40.645821
new york,,26.0,-74.012761,40.706449,,-74.012761,40.706449
new york,,30.0,-73.955649,40.806654,,-73.955649,40.806654
staten island,,23.0,-74.07873,40.642793,,-74.07873,40.642793
jamaica,,10.0,-73.797493,40.69087,,-73.797493,40.69087
brooklyn,,26.0,-73.992806,40.688806,,-73.992806,40.688806
new york,,30.0,-73.945496,40.809488,,-73.945496,40.809488
brooklyn,,23.5,-73.961086,40.700432,,-73.961086,40.700432
brooklyn,,25.0,-73.988923,40.690073,,-73.988923,40.690073
bronx,,34.0,-73.891931,40.8609,,-73.891931,40.8609
brooklyn,,17.0,-73.959285,40.620525,,-73.959285,40.620525
bronx,,29.0,-73.92039,40.812512,,-73.92039,40.812512
bronx,,31.5,-73.873893,40.823998,,-73.873893,40.823998
bronx,,33.0,-73.900575,40.85359,,-73.900575,40.85359
new york,,26.0,-74.001425,40.716083,,-74.001425,40.716083
bronx,,33.0,-73.883698,40.849581,,-73.883698,40.849581
brooklyn,,20.0,-73.952195,40.667252,,-73.952195,40.667252
