manhattan_condominiums_comparable_properties_neighborhood,manhattan_condominiums_comparable_properties_total_units,t2_latitude,t2_longitude,t5_latitude,t5_longitude,total,count,average
MIDTOWN EAST,366,40.751983,-73.967538,40.751983,-73.967538,62.38,1,62.38
CLINTON,83,40.765758,-73.988488,40.765758,-73.988488,61.11,1,61.11
MURRAY HILL,191,40.745294,-73.97708,40.745294,-73.97708,46.99,1,46.99
UPPER WEST SIDE (59-79),133,40.769476,-73.985122,40.769476,-73.985122,46.59,1,46.59
MIDTOWN WEST,152,40.757593,-73.978862,40.757593,-73.978862,46.22,1,46.22
MIDTOWN EAST,118,40.757851,-73.965889,40.757851,-73.965889,46.09,1,46.09
TRIBECA,311,40.716863,-74.012207,40.716863,-74.012207,45.58,1,45.58
CHELSEA,22,40.748175,-74.003829,40.748175,-74.003829,44.7,1,44.7
MURRAY HILL,29,40.743546,-73.982656,40.743546,-73.982656,44.35,1,44.35
FINANCIAL,382,40.706531,-74.011022,40.706531,-74.011022,42.28,1,42.28
FLATIRON,17,40.736782,-73.993039,40.736782,-73.993039,41.94,1,41.94
TRIBECA,154,40.709097,-74.017104,40.709097,-74.017104,41.58,1,41.58
UPPER EAST SIDE (59-79),111,40.77554,-73.962685,40.77554,-73.962685,41.14,1,41.14
GREENWICH VILLAGE-CENTRAL,26,40.726165,-73.993127,40.726165,-73.993127,40.72,1,40.72
UPPER WEST SIDE (79-96),306,40.786199,-73.97751,40.786199,-73.97751,40.03,1,40.03
UPPER EAST SIDE (59-79),36,40.764673,-73.97012,40.764673,-73.97012,39.5,1,39.5
CHELSEA,197,40.741961,-73.997214,40.741961,-73.997214,39.41,1,39.41
UPPER WEST SIDE (59-79),132,40.777053,-73.977928,40.777053,-73.977928,39.15,1,39.15
MIDTOWN EAST,174,40.75818,-73.964676,40.75818,-73.964676,38.99,1,38.99
GREENWICH VILLAGE-WEST,122,40.735209,-74.001086,40.735209,-74.001086,38.87,1,38.87
CHELSEA,69,40.741901,-73.998069,40.741901,-73.998069,38.49,1,38.49
MIDTOWN WEST,183,40.763116,-73.978063,40.763116,-73.978063,38.2,1,38.2
UPPER WEST SIDE (59-79),23,40.781538,-73.975807,40.781538,-73.975807,38.07,1,38.07
MURRAY HILL,40,40.745032,-73.984265,40.745032,-73.984265,37.78,1,37.78
EAST VILLAGE,66,40.725929,-73.988787,40.725929,-73.988787,37.67,1,37.67
EAST VILLAGE,32,40.725173,-73.984191,40.725173,-73.984191,37.27,1,37.27
SOHO,12,40.724164,-74.009423,40.724164,-74.009423,37.13,1,37.13
UPPER EAST SIDE (59-79),12,40.763947,-73.966413,40.763947,-73.966413,36.82,1,36.82
UPPER WEST SIDE (59-79),8,40.780284,-73.980401,40.780284,-73.980401,36.81,1,36.81
SOHO,11,40.72109,-74.003745,40.72109,-74.003745,36.76,1,36.76
UPPER EAST SIDE (59-79),15,40.766048,-73.971401,40.766048,-73.971401,36.73,1,36.73
UPPER WEST SIDE (79-96),37,40.792025,-73.975161,40.792025,-73.975161,36.22,1,36.22
MIDTOWN EAST,115,40.758677,-73.963774,40.758677,-73.963774,36.0,1,36.0
UPPER WEST SIDE (59-79),54,40.772212,-73.980197,40.772212,-73.980197,35.59,1,35.59
LOWER EAST SIDE,6,40.719807,-73.983048,40.719807,-73.983048,35.5,1,35.5
SOHO,15,40.726149,-73.999441,40.726149,-73.999441,35.38,1,35.38
FLATIRON,15,40.739433,-73.990351,40.739433,-73.990351,34.22,1,34.22
UPPER WEST SIDE (79-96),30,40.794839,-73.974285,40.794839,-73.974285,33.99,1,33.99
GREENWICH VILLAGE-WEST,184,40.730063,-74.006891,40.730063,-74.006891,33.2,1,33.2
EAST VILLAGE,14,40.729694,-73.988447,40.729694,-73.988447,33.05,1,33.05
GREENWICH VILLAGE-WEST,40,40.733944,-74.005037,40.733944,-74.005037,32.66,1,32.66
MIDTOWN EAST,59,40.756097,-73.964548,40.756097,-73.964548,32.61,1,32.61
MIDTOWN WEST,34,40.765476,-73.977817,40.765476,-73.977817,31.94,1,31.94
ALPHABET CITY,12,40.727151,-73.978702,40.727151,-73.978702,31.8,1,31.8
MIDTOWN WEST,65,40.763839,-73.98499,40.763839,-73.98499,31.23,1,31.23
FINANCIAL,29,40.70935,-74.00861,40.70935,-74.00861,29.72,1,29.72
TRIBECA,11,40.719879,-74.007929,40.719879,-74.007929,29.55,1,29.55
GREENWICH VILLAGE-WEST,30,40.731591,-74.004954,40.731591,-74.004954,26.56,1,26.56
GREENWICH VILLAGE-CENTRAL,10,40.727016,-73.993094,40.727016,-73.993094,25.88,1,25.88
FINANCIAL,13,40.70991,-74.012177,40.70991,-74.012177,21.88,1,21.88
