job_filing_number,total_work_fee
M00505950-P1,1745.0
B00982998-I1-EL,0.0
B00748722-I1-EL,0.0
M00954943-I1-EL,0.0
B00650060-I1-EL,0.0
B00703717-P1,82.75
B00501319-P1,91.0
Q00552250-I1-EL,0.0
X00513387-I1-EL,923.5
M00511729-I1-EL,12.0
B00920878-P1,125.0
M00486317-P1,110.0
B00372628-P1,0.0
B00003675-I1-EL,262.0
Q00552412-I1-EL,38.0
M00510713-P1,195.0
M00511851-I1-EL,30.0
X00621313-P2,837.5
M00487145-I1-EL,0.75
B00935162-P1,1858.0
B01062732-P5,131.75
B00956048-P1,53.0
B00650077-I1-EL,15.5
B00885791-I1-EL,107.0
M00505408-P1,45.75
B00611842-P1,100.25
X00501132-I1-EL,85.0
B00830597-P2,39.5
Q00299558-I1-EL,30.0
X00489821-I1-EL,38.0
Q00552109-I1-EL,0.0
B00564547-P1,35.0
B00543176-I1-EL,136.0
M00481509-I1-EL,0.0
B00917936-P1,111.0
M00511992-I1-EL,0.0
B00620937-I1-EL,50.75
B00629026-P1,358.5
B00749236-I1-EL,0.0
X00565960-P1,115.75
B00222939-I1-EL,75.0
B00196175-I1-EL,0.0
M00902242-P1,11.25
M00301147-P2,42.0
B00634994-I1-EL,46.0
B00552134-I1-EL,65.0
X00552080-I1-EL,7.5
M00412584-P1,37.5
Q00552599-I1-EL,39.0
B00749361-I1-EL,0.0
