property_name,energy_star_certification_3,property_floor_area_buildings,retail_store_worker_density,swimming_pool_location_of,address_1,bank_branch_number_of_workers,supermarket_grocery_percent
"Fifth Avenue Dev. Co., LLC",Not Available,99232,Not Available,Not Available,1160 5th Avenue,Not Available,Not Available
"Fifth Avenue Dev. Co., LLC",Not Available,99232,Not Available,Not Available,1160 5th Avenue,Not Available,Not Available
Hampton House Company LP,Not Available,119106,Not Available,Not Available,1801 Dorchester Road,Not Available,Not Available
Pepsi Cola Avenue D,Not Available,130000,Not Available,Not Available,9701 Ave D,Not Available,Not Available
201 West 72nd Street - The Alexandria House Condominium,Not Available,246461,Not Available,Not Available,201 West 72nd Street,Not Available,Not Available
599 Lexington,Not Available,1042298,3.28,Not Available,599 Lexington,0,Not Available
FASHION ASSOCIATES,Not Available,102562,1.61,Not Available,148 WEST 37TH STREET,Not Available,Not Available
Gotham Towne House Owners Corporation,Not Available,135849,1,Not Available,153 East 57th Street,Not Available,Not Available
Trinity- 137 Varick,Not Available,85674,Not Available,Not Available,137 Varick St,Not Available,Not Available
1544,Not Available,197645,0.27,Not Available,9605 QUEENS BLVD,Not Available,Not Available
399 Park Avenue,Not Available,1711084,1.18,Not Available,399 Park Avenue,36,Not Available
640 Fifth Avenue,"2008, 2011",356686,5.13,Not Available,640 Fifth Avenue,Not Available,Not Available
Eger Harbor House,Not Available,53856,Not Available,Not Available,110 Meisner Ave,Not Available,Not Available
Grand Slam Corp,Not Available,76268,Not Available,Not Available,1956 Crotona Parkway,Not Available,Not Available
"1522 University Realty, L.L.C.",Not Available,55000,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1522 University Realty, L.L.C.",Not Available,55000,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1522 University Realty, L.L.C.",Not Available,55000,Not Available,Not Available,1919 Williamsbridge Road,Not Available,100
"1522 University Realty, L.L.C.",Not Available,55000,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1522 University Realty, L.L.C.",Not Available,55000,Not Available,Not Available,1919 Williamsbridge Road,Not Available,100
300 Madison Avenue,"2010, 2012, 2013",1071012,1.14,Not Available,300 Madison Avenue,Not Available,Not Available
838 Fifth Avenue Condominium,Not Available,62857,Not Available,Not Available,838 Fifth Avenue,Not Available,Not Available
930 St. Nicholas Owners Corp.,Not Available,52550,Not Available,Not Available,930 Saint Nicholas Avenue,Not Available,Not Available
Poly Prep Science Center,Not Available,13150,Not Available,Not Available,9216 7th Avenue,Not Available,Not Available
STATEN ISLAND (2006),Not Available,143876,0.64,Not Available,2900 VETERANS RD W,Not Available,Not Available
UNICEF HOUSE,Not Available,208203,Not Available,Not Available,3 UN Plaza,Not Available,Not Available
110 Post,Not Available,106215,Not Available,Not Available,110 Post Avenue,Not Available,Not Available
1177 Avenue of the Americas,Not Available,981408,Not Available,Not Available,1177 Avenue of the Americas,Not Available,Not Available
120 Fifth,Not Available,68781,0.72,Not Available,120 Fifth Avenue,Not Available,Not Available
641 Lexington Avenue,Not Available,429866,Not Available,Not Available,641 Lexington Avenue,Not Available,Not Available
866 UN Plaza,Not Available,376326,Not Available,Not Available,866 UN Plaza,10,Not Available
251 West 39th Street Realty Co. LLC,Not Available,110900,1.17,Not Available,251 West 39th Street,Not Available,Not Available
Sisters of Charity (SEM),Not Available,61320,Not Available,Not Available,150 Brielle Avenue,Not Available,Not Available
Main Hospital,Not Available,590371,Not Available,Not Available,56-45 Main Street,Not Available,Not Available
Walter & Samuels - 18 E 41st,Not Available,111236,Not Available,Not Available,18 E 41st,Not Available,Not Available
One Wall,"2009, 2012",1112533,Not Available,Not Available,One Wall Street,2220,Not Available
One Wall,"2009, 2012",1112533,Not Available,Not Available,One Wall Street,2220,Not Available
"Atria 2000 Associates, LLC",Not Available,209525,Not Available,Not Available,159-10 71ST AVE,Not Available,Not Available
Court Square Place,"2010, 2012",275252,Not Available,Not Available,24-01 44th Road,Not Available,Not Available
Court Square Place,"2010, 2012",275252,Not Available,Not Available,24-01 44th Road,Not Available,Not Available
891 Park Avenue Corp,Not Available,27040,Not Available,Not Available,891 Park Avenue,Not Available,Not Available
Brush Ave,Not Available,230000,Not Available,Not Available,650 Brush Ave,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Not Available,60480,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Not Available,60480,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Not Available,60480,Not Available,Not Available,1919 Williamsbridge Road,Not Available,100
"1480 Popham Realty, L.L.C.",Not Available,60480,Not Available,Not Available,1919 Williamsbridge Road,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Not Available,60480,Not Available,Not Available,1919 Williamsbridge Road,Not Available,100
Boulevard Alp,Not Available,165906,Not Available,Not Available,71-61 159th Street,Not Available,Not Available
Riverbridge Court Condominium,Not Available,65865,Not Available,Not Available,603 West 148th Street,Not Available,Not Available
25 East 83rd Street,Not Available,93252,Not Available,Not Available,25 East 83rd Street,Not Available,Not Available
Mary Woodard Lasker Medical Research Center,Not Available,69705,Not Available,Not Available,"3940,3960 Broadway",Not Available,Not Available
1600 Sedgwick Riverview,Not Available,348363,Not Available,Not Available,1600 Sedgwick Ave.,Not Available,Not Available
394 ARGYLE RD HCM,Not Available,176670,Not Available,Not Available,394 ARGYLE RD HCM,Not Available,Not Available
Conde Nast Building,"2001, 2002, 2003, 2005, 2006, 2008, 2010",1601977,1.59,Not Available,4 Times Square,Not Available,Not Available
1647-55 Macombs,Not Available,66604,Not Available,Not Available,1647-55 Macombs Road,Not Available,Not Available
30 Vesey Street,Not Available,77000,1,Not Available,30 Vesey Street,Not Available,Not Available
8635 21 AVE PLPM,Not Available,109630,Not Available,Not Available,8635 21 AVE PLPM,Not Available,Not Available
327 Central Park West Condominium,Not Available,102972,Not Available,Not Available,327 Central Park West,Not Available,Not Available
520 East 72nd Street,Not Available,172396,Not Available,Not Available,520 East 72nd Street,Not Available,Not Available
560 Lexington Avenue,Not Available,328910,Not Available,Not Available,560 Lexington Avenue,Not Available,Not Available
900 Third Ave,"2009, 2010, 2012",592677,1.21,Not Available,900 Third Ave,Not Available,Not Available
Walter & Samuels 419 Park Ave South,2012,175307,Not Available,Not Available,419 Park Ave South,Not Available,100
