energy_star_application_status,current_rating_1_100,multifamily_home_gross_floor,parking_enclosed_floor_area,hospital_gross_floor_area,total_avoided_ghg_emissions,category,count,avg_value,total_value,max_value
No Status Available,0,70350.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,486000.0,56040.0,,,Low Efficiency,1,0.0,0,0
No Status Available,84,,,,,High Efficiency,1,84.0,84,84
No Status Available,0,415799.0,42493.0,,,Low Efficiency,1,0.0,0,0
No Status Available,90,,,,,High Efficiency,1,90.0,90,90
No Status Available,0,154343.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,280578.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,376859.0,,,,Low Efficiency,2,0.0,0,0
No Status Available,49,,,,,Low Efficiency,1,49.0,49,49
No Status Available,0,290612.0,0.0,,,Low Efficiency,1,0.0,0,0
No Status Available,0,50929.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,209574.0,21352.0,,,Low Efficiency,1,0.0,0,0
No Status Available,59,,,,,Medium Efficiency,1,59.0,59,59
No Status Available,0,71490.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,303090.0,,,,Low Efficiency,4,0.0,0,0
No Status Available,0,55947.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,122689.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,2739.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,515848.0,,,,Low Efficiency,4,0.0,0,0
No Status Available,0,139321.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,40,,45132.0,,,Low Efficiency,1,40.0,40,40
No Status Available,0,123482.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,207463.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,,,,,Low Efficiency,11,0.0,0,0
No Status Available,0,220875.0,10000.0,,,Low Efficiency,1,0.0,0,0
No Status Available,0,69700.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,196798.0,,,,Low Efficiency,3,0.0,0,0
No Status Available,0,1190112.0,,,,Low Efficiency,3,0.0,0,0
No Status Available,0,249075.0,,,,Low Efficiency,1,0.0,0,0
Application - Label Sent (19-DEC-11),85,,,,,High Efficiency,1,85.0,85,85
No Status Available,0,86322.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,55,,,,,Medium Efficiency,1,55.0,55,55
No Status Available,79,,,,,Medium Efficiency,1,79.0,79,79
Application - Label Sent (18-NOV-11),97,,,,,High Efficiency,1,97.0,97,97
No Status Available,0,121053.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,54900.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,69928.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,138600.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,0,119728.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,53,,,,,Medium Efficiency,1,53.0,53,53
No Status Available,0,74900.0,,,,Low Efficiency,1,0.0,0,0
No Status Available,43,,,,,Low Efficiency,1,43.0,43,43
No Status Available,0,63563.0,,,,Low Efficiency,1,0.0,0,0
